File Length , Buffer Size (Byte), Buffered Time Taken (ns)
90300 , 0 , 811263549
75900 , 0 , 532820083
98300 , 0 , 829059922
70100 , 0 , 438291568
81700 , 0 , 573886171
63600 , 0 , 353719385
92900 , 0 , 807381023
131300 , 0 , 1498530474
158200 , 0 , 2147627782
28800 , 0 , 95866224
88800 , 0 , 684253653
61500 , 0 , 338988760
188600 , 0 , 3101982166
108700 , 0 , 1033507924
105900 , 0 , 962334280
126000 , 0 , 1366457259
136700 , 0 , 1597897766
79500 , 0 , 555270264
193600 , 0 , 3247852369
115300 , 0 , 1173243911
26400 , 0 , 70959691
100900 , 0 , 865760213
147800 , 0 , 1891586592
41500 , 0 , 171657554
174500 , 0 , 2608772954
92100 , 0 , 729860712
99500 , 0 , 845796654
114800 , 0 , 1117654953
39500 , 0 , 150493337
70200 , 0 , 432304242
163600 , 0 , 2255773107
35200 , 0 , 113100938
86300 , 0 , 639828602
4500 , 0 , 23395075
162400 , 0 , 2278227567
136800 , 0 , 1606210001
156900 , 0 , 2122918270
8600 , 0 , 33123488
66000 , 0 , 387551923
4900 , 0 , 6674790
173300 , 0 , 2640363860
110400 , 0 , 999222280
65000 , 0 , 367432102
146700 , 0 , 1777923584
85700 , 0 , 610067488
172100 , 0 , 2441718126
43900 , 0 , 177461484
47200 , 0 , 188588107
43600 , 0 , 185559150
12000 , 0 , 18126202
114900 , 0 , 1095452416
94800 , 0 , 747206335
17800 , 0 , 29931697
6800 , 0 , 8752166
196200 , 0 , 3198746172
184700 , 0 , 2838011592
40300 , 0 , 153057705
112300 , 0 , 1044149361
143500 , 0 , 1691119085
14400 , 0 , 43896773
109200 , 0 , 981856646
136200 , 0 , 1593906706
18900 , 0 , 55989416
70900 , 0 , 424426083
142500 , 0 , 1668438472
47300 , 0 , 193777729
93100 , 0 , 720539070
6500 , 0 , 7804385
168800 , 0 , 2364505243
182100 , 0 , 2760292977
112500 , 0 , 1036561757
179900 , 0 , 2673695663
19900 , 0 , 53946702
173500 , 0 , 2495294667
69800 , 0 , 411947053
133900 , 0 , 1482849655
63800 , 0 , 353847162
44900 , 0 , 177736135
134200 , 0 , 1489506870
87400 , 0 , 645430867
25900 , 0 , 61216357
49800 , 0 , 217646365
176600 , 0 , 2609192115
76600 , 0 , 493737619
186600 , 0 , 2914297899
7100 , 0 , 17996912
190400 , 0 , 3013519703
500 , 0 , 24061725
2000 , 0 , 5554793
47700 , 0 , 193187103
57200 , 0 , 282072591
62100 , 0 , 325972768
187200 , 0 , 2939544122
58100 , 0 , 304252941
166000 , 0 , 2329653701
142700 , 0 , 1701089097
174900 , 0 , 2551897492
131100 , 0 , 1421570796
76200 , 0 , 513821749
122600 , 0 , 1264291186
163500 , 0 , 2209531626
68500 , 0 , 413768955
170200 , 0 , 2412821735
109400 , 0 , 1010169375
193300 , 0 , 3107982330
38900 , 0 , 147430627
160600 , 0 , 2145120587
108800 , 0 , 977820767
97300 , 0 , 800760646
76300 , 0 , 490571313
21800 , 0 , 55713754
130900 , 0 , 1408772049
198300 , 0 , 3282862370
55700 , 0 , 290089351
96300 , 0 , 773867957
143700 , 0 , 1714985177
193400 , 0 , 3128799503
189500 , 0 , 2973507184
1100 , 0 , 24932444
159700 , 0 , 2110493540
185700 , 0 , 2889831396
61900 , 0 , 343622256
105800 , 0 , 926964510
19400 , 0 , 39848151
178500 , 0 , 2657027662
157900 , 0 , 2131688062
164700 , 0 , 2273591750
57000 , 0 , 288418530
13700 , 0 , 29306877
47600 , 0 , 200434823
137000 , 0 , 1556396039
57600 , 0 , 291949054
64500 , 0 , 353762653
144300 , 0 , 1707350613
28200 , 0 , 77964951
111100 , 0 , 1030876542
195200 , 0 , 3188284817
86000 , 0 , 634851251
61100 , 0 , 326212994
26800 , 0 , 66581951
59200 , 0 , 301162534
4200 , 0 , 6645483
113900 , 0 , 1071322348
102700 , 0 , 873615724
65200 , 0 , 374095817
62700 , 0 , 332463274
164500 , 0 , 2246070698
3300 , 0 , 15307155
41400 , 0 , 148139963
44200 , 0 , 171795022
164900 , 0 , 2250160144
104700 , 0 , 914128667
85800 , 0 , 608769147
61800 , 0 , 325826352
131600 , 0 , 1431872646
7900 , 0 , 22197977
25100 , 0 , 61410097
53700 , 0 , 252400067
91700 , 0 , 725841650
50600 , 0 , 241520933
100 , 0 , 7534156
94000 , 0 , 793211990
3500 , 0 , 24582794
9400 , 0 , 12450845
122300 , 0 , 1234222235
155900 , 0 , 2052601259
116000 , 0 , 1112153283
120200 , 0 , 1210089150
147900 , 0 , 1806449058
177400 , 0 , 2599225214
95800 , 0 , 766013327
8800 , 0 , 17381930
155000 , 0 , 1989235724
111900 , 0 , 1046247359
36800 , 0 , 136351138
66200 , 0 , 386353907
199700 , 0 , 3336114521
83600 , 0 , 586218943
57700 , 0 , 292067848
74200 , 0 , 461808072
156600 , 0 , 2026726234
102400 , 0 , 875396329
192600 , 0 , 3121177639
65300 , 0 , 380655828
24000 , 0 , 56641275
38100 , 0 , 138041986
58400 , 0 , 292641521
8200 , 0 , 13618453
120400 , 0 , 1197118982
152200 , 0 , 1924752275
171400 , 0 , 2448438588
165200 , 0 , 2258455122
171300 , 0 , 2461973495
97900 , 0 , 812937503
65400 , 0 , 368035254
170600 , 0 , 2428674193
73200 , 0 , 466881463
182300 , 0 , 2765751343
84900 , 0 , 595718486
28400 , 0 , 78555348
163700 , 0 , 2230293573
186100 , 0 , 2914034580
23400 , 0 , 64906063
133500 , 0 , 1500600824
198500 , 0 , 3317875720
183700 , 0 , 2829143742
29800 , 0 , 96232550
148800 , 0 , 1867868515
58600 , 0 , 302168078
153900 , 0 , 1980093333
149100 , 0 , 1826604640
22300 , 0 , 55840085
173200 , 0 , 2509382652
83800 , 0 , 591323808
173000 , 0 , 2499693555
90900 , 0 , 691719751
111000 , 0 , 1035594451
70300 , 0 , 416601876
300 , 0 , 11661660
81600 , 0 , 572208907
132600 , 0 , 1493486644
5400 , 0 , 22532985
170700 , 0 , 2448204034
196000 , 0 , 3245955121
199600 , 0 , 3372335734
121900 , 0 , 1249841892
45600 , 0 , 177257548
186500 , 0 , 2919289696
1600 , 0 , 32397796
15900 , 0 , 27409166
44700 , 0 , 182784218
44400 , 0 , 177325429
181400 , 0 , 2760146910
14200 , 0 , 21773930
59800 , 0 , 302111299
152900 , 0 , 1942108030
18000 , 0 , 42153280
12900 , 0 , 17610119
160200 , 0 , 2135305670
58700 , 0 , 298431384
116700 , 0 , 1124381873
16700 , 0 , 40038925
76000 , 0 , 494882905
195500 , 0 , 3209539553
78600 , 0 , 526042399
154200 , 0 , 1976657389
132500 , 0 , 1475881389
128200 , 0 , 1370411204
85100 , 0 , 599588330
48900 , 0 , 212290917
17100 , 0 , 36198807
56000 , 0 , 274226899
94100 , 0 , 737977738
71800 , 0 , 442671334
66700 , 0 , 376119602
199500 , 0 , 3345127270
47400 , 0 , 211987852
123300 , 0 , 1278677126
156800 , 0 , 2034609312
32800 , 0 , 103660578
145700 , 0 , 1763854380
99300 , 0 , 828799785
194000 , 0 , 3197429844
94600 , 0 , 751239391
63300 , 0 , 353387536
110000 , 0 , 1021446412
108100 , 0 , 971440146
113700 , 0 , 1071255978
198900 , 0 , 3307312284
77800 , 0 , 520793260
159900 , 0 , 2144337019
177800 , 0 , 2663438949
119200 , 0 , 1200418705
4700 , 0 , 13399969
128400 , 0 , 1380327742
52000 , 0 , 237238121
169000 , 0 , 2397739149
55600 , 0 , 280994359
139100 , 0 , 1617519618
46700 , 0 , 190545953
130300 , 0 , 1423637290
77000 , 0 , 500603080
141600 , 0 , 1666841663
38300 , 0 , 144633606
23500 , 0 , 55887817
131200 , 0 , 1433365048
75000 , 0 , 468742105
21500 , 0 , 49765968
34100 , 0 , 110001534
126600 , 0 , 1339133479
67500 , 0 , 404959615
145800 , 0 , 1768669533
151800 , 0 , 1946231587
119800 , 0 , 1203883955
177900 , 0 , 2650429280
36300 , 0 , 126775077
45200 , 0 , 180309174
48600 , 0 , 208138101
199400 , 0 , 3358340057
102600 , 0 , 899103982
174800 , 0 , 2546991409
150700 , 0 , 1892969690
46100 , 0 , 194894579
161800 , 0 , 2199790544
112700 , 0 , 1079524080
100800 , 0 , 910191747
66500 , 0 , 387386769
196600 , 0 , 3278168511
173700 , 0 , 2642259902
90500 , 0 , 708882392
53100 , 0 , 256138842
163100 , 0 , 2241754402
83100 , 0 , 596596470
104800 , 0 , 919474497
92700 , 0 , 729552294
97600 , 0 , 797097536
