File Length , Non-Buffered Time Taken (ns)
90300 , 736649825
75900 , 513363695
98300 , 818694218
70100 , 448504580
81700 , 585978104
63600 , 364387835
92900 , 747870606
131300 , 1407930743
158200 , 2031619334
28800 , 106118439
88800 , 681391891
61500 , 353566757
188600 , 2883482014
108700 , 991804938
105900 , 932374005
126000 , 1333781627
136700 , 1535056151
79500 , 559067380
193600 , 3012052315
115300 , 1135045891
26400 , 102860608
100900 , 876144011
147800 , 1770536188
41500 , 177828880
174500 , 2446198807
92100 , 724877120
99500 , 837332556
114800 , 1089851159
39500 , 163239453
70200 , 443892495
163600 , 2176815812
35200 , 136856943
86300 , 636987779
4500 , 11361743
162400 , 2129502354
136800 , 1550591728
156900 , 1996286883
8600 , 25181873
66000 , 387293885
4900 , 19194433
173300 , 2440306002
110400 , 1049014002
65000 , 454823552
146700 , 1828731579
85700 , 654105330
172100 , 2417837693
43900 , 202942250
47200 , 218756023
43600 , 193035433
12000 , 28373083
114900 , 1112833824
94800 , 782369185
17800 , 55018626
6800 , 13702606
196200 , 3102739104
184700 , 2779022642
40300 , 191900044
112300 , 1051924647
143500 , 1677450260
14400 , 44186587
109200 , 989960748
136200 , 1519369315
18900 , 53510707
70900 , 446944466
142500 , 1677556667
47300 , 272837676
93100 , 749421673
6500 , 17434523
168800 , 2305039755
182100 , 2806371859
112500 , 1256153752
179900 , 2667114233
19900 , 59404047
173500 , 2428079779
69800 , 459808554
133900 , 1456523783
63800 , 397217860
44900 , 203916518
134200 , 1474509550
87400 , 669680886
25900 , 95159322
49800 , 240154957
176600 , 2519392124
76600 , 535614723
186600 , 2815636278
7100 , 31749238
190400 , 2932150096
500 , 24739317
2000 , 6756454
47700 , 219309381
57200 , 302250013
62100 , 380023619
187200 , 2891208700
58100 , 319770212
166000 , 2231624988
142700 , 1669776148
174900 , 2483305741
131100 , 1421060795
76200 , 520887173
122600 , 1243733418
163500 , 2181623708
68500 , 453515299
170200 , 2352354984
109400 , 1007593382
193300 , 3022355232
38900 , 172716215
160600 , 2076888931
108800 , 1006361534
97300 , 795221281
76300 , 514282867
21800 , 65537611
130900 , 1400787661
198300 , 3172725868
55700 , 321967062
96300 , 791560729
143700 , 1682439455
193400 , 3042846218
189500 , 2925851345
1100 , 9315805
159700 , 2070968775
185700 , 2766738561
61900 , 376122907
105800 , 939316951
19400 , 49229826
178500 , 2573261379
157900 , 2013543125
164700 , 2217706354
57000 , 317175707
13700 , 31575139
47600 , 236558460
137000 , 1539493054
57600 , 332147975
64500 , 378308227
144300 , 1708897734
28200 , 100650765
111100 , 1047504541
195200 , 3086726548
86000 , 635202491
61100 , 336028157
26800 , 96420074
59200 , 338166065
4200 , 12639623
113900 , 1096923912
102700 , 885999676
65200 , 387326219
62700 , 364595198
164500 , 2222720466
3300 , 11131158
41400 , 175881284
44200 , 187519270
164900 , 2216506812
104700 , 915717633
85800 , 642837774
61800 , 352782358
131600 , 1424509642
7900 , 25326348
25100 , 72876799
53700 , 277581654
91700 , 727444711
50600 , 258225346
100 , 12519647
94000 , 762857844
3500 , 13610034
9400 , 26900630
122300 , 1235100913
155900 , 1983667045
116000 , 1120148347
120200 , 1210140209
147900 , 1779769998
177400 , 2554876357
95800 , 800188756
8800 , 26784594
155000 , 1943788251
111900 , 1054591472
36800 , 142862922
66200 , 405829779
199700 , 3227625374
83600 , 618691001
57700 , 309368165
74200 , 484799338
156600 , 2062033417
102400 , 894992454
192600 , 2971363929
65300 , 391846703
24000 , 93248453
38100 , 156703145
58400 , 325747800
8200 , 22734085
120400 , 1189333436
152200 , 1895974657
171400 , 2364251439
165200 , 2223306635
171300 , 2412595894
97900 , 810834425
65400 , 395978687
170600 , 2375365186
73200 , 474119005
182300 , 2691007820
84900 , 629145710
28400 , 96191571
163700 , 2174071371
186100 , 2795337887
23400 , 79567857
133500 , 1454468927
198500 , 3213493127
183700 , 2756971543
29800 , 114413915
148800 , 1800457516
58600 , 340166880
153900 , 1933496389
149100 , 1801349134
22300 , 78898245
173200 , 2440936117
83800 , 610865799
173000 , 2442103575
90900 , 713180200
111000 , 1022551160
70300 , 449577545
300 , 13690522
81600 , 586396986
132600 , 1451276042
5400 , 21887427
170700 , 2381886383
196000 , 3129481443
199600 , 3195847386
121900 , 1233126719
45600 , 229758370
186500 , 2820990750
1600 , 10462890
15900 , 45729256
44700 , 192452804
44400 , 208282551
181400 , 2681023979
14200 , 41654728
59800 , 328496579
152900 , 1907440529
18000 , 61584082
12900 , 26160254
160200 , 2093016129
58700 , 326880815
116700 , 1136202595
16700 , 52722934
76000 , 515909793
195500 , 3084498993
78600 , 551667361
154200 , 1935053929
132500 , 1436298463
128200 , 1379532378
85100 , 662113804
48900 , 232197122
17100 , 42330946
56000 , 328406319
94100 , 778083138
71800 , 467935622
66700 , 400390201
199500 , 3212456248
47400 , 235341822
123300 , 1268742273
156800 , 1997116622
32800 , 128510481
145700 , 1734012681
99300 , 841738862
194000 , 3055153969
94600 , 770307776
63300 , 407226965
110000 , 1011006590
108100 , 982307006
113700 , 1090188958
198900 , 3210840984
77800 , 531531506
159900 , 2112028756
177800 , 2570262753
119200 , 1180106974
4700 , 15607881
128400 , 1418723598
52000 , 268916632
169000 , 3364421535
55600 , 406173420
139100 , 1625485569
46700 , 220433490
130300 , 1396251559
77000 , 520665996
141600 , 1630124666
38300 , 162496325
23500 , 72970566
131200 , 1418261515
75000 , 541374933
21500 , 66759879
34100 , 141317783
126600 , 1383873394
67500 , 437830230
145800 , 1762232305
151800 , 1925052375
119800 , 1202952517
177900 , 2634262955
36300 , 145340323
45200 , 214053356
48600 , 248093838
199400 , 3303161873
102600 , 919251350
174800 , 2545482408
150700 , 1889972481
46100 , 242063398
161800 , 2521442327
112700 , 1339472385
100800 , 878255513
66500 , 397786224
196600 , 3189350704
173700 , 2527267623
90500 , 807312308
53100 , 338154492
163100 , 2696517957
83100 , 864120677
104800 , 1260096818
92700 , 942925553
97600 , 848488407
156000 , 2113347680
77200 , 537037725
150800 , 1917838300
128800 , 1361680466
99000 , 851702082
91900 , 710265487
188700 , 2882151702
60100 , 334471790
107700 , 969857956
