File Length , Buffer Size (Byte), Buffered Time Taken (ns)
90300 , 0 , 2633069833
75900 , 0 , 709347479
98300 , 0 , 818954615
70100 , 0 , 424352096
81700 , 0 , 558608897
63600 , 0 , 357217175
92900 , 0 , 748112059
131300 , 0 , 1461518648
158200 , 0 , 2148244185
28800 , 0 , 78864017
88800 , 0 , 679914040
61500 , 0 , 328442675
188600 , 0 , 3049742591
108700 , 0 , 1012990652
105900 , 0 , 956341379
126000 , 0 , 1325882840
136700 , 0 , 1564126149
79500 , 0 , 537463512
193600 , 0 , 3274208162
115300 , 0 , 1133659838
26400 , 0 , 60167857
100900 , 0 , 879263421
147800 , 0 , 1887761593
41500 , 0 , 156101338
174500 , 0 , 2653566138
92100 , 0 , 721811965
99500 , 0 , 845603718
114800 , 0 , 1117597765
39500 , 0 , 143272584
70200 , 0 , 425713596
163600 , 0 , 2265312763
35200 , 0 , 110778190
86300 , 0 , 635467157
4500 , 0 , 7687407
162400 , 0 , 2261699427
136800 , 0 , 1597334826
156900 , 0 , 2084333365
8600 , 0 , 18034253
66000 , 0 , 381794051
4900 , 0 , 25464759
173300 , 0 , 2561756380
110400 , 0 , 1039379488
65000 , 0 , 366962399
146700 , 0 , 1810074427
85700 , 0 , 636016765
172100 , 0 , 2497259332
43900 , 0 , 196305822
47200 , 0 , 197533888
43600 , 0 , 171743163
12000 , 0 , 19392552
114900 , 0 , 1127600954
94800 , 0 , 785091875
17800 , 0 , 38348033
6800 , 0 , 19935907
196200 , 0 , 3268676535
184700 , 0 , 2912634039
40300 , 0 , 161032977
112300 , 0 , 1055120790
143500 , 0 , 1770324254
14400 , 0 , 28812041
109200 , 0 , 1031575410
136200 , 0 , 1603454510
18900 , 0 , 51813653
70900 , 0 , 436324637
142500 , 0 , 1731832257
47300 , 0 , 220649642
93100 , 0 , 747063164
6500 , 0 , 22282517
168800 , 0 , 2447069541
182100 , 0 , 2856034079
112500 , 0 , 1064638475
179900 , 0 , 2779717961
19900 , 0 , 52627152
173500 , 0 , 2549487594
69800 , 0 , 428316263
133900 , 0 , 1541654510
63800 , 0 , 362356945
44900 , 0 , 193526759
134200 , 0 , 1569626338
87400 , 0 , 647175822
25900 , 0 , 62826804
49800 , 0 , 231003504
176600 , 0 , 2674878215
76600 , 0 , 515533429
186600 , 0 , 3004742026
7100 , 0 , 35698804
190400 , 0 , 3146138092
500 , 0 , 15607716
2000 , 0 , 4497907
47700 , 0 , 203547312
57200 , 0 , 295991710
62100 , 0 , 340730170
187200 , 0 , 2986976423
58100 , 0 , 302964356
166000 , 0 , 2361319971
142700 , 0 , 1790799874
174900 , 0 , 2623139183
131100 , 0 , 1500750586
76200 , 0 , 502360860
122600 , 0 , 1311187281
163500 , 0 , 2319370705
68500 , 0 , 452481535
170200 , 0 , 2481310589
109400 , 0 , 1017735965
193300 , 0 , 3219838396
38900 , 0 , 150875585
160600 , 0 , 2165756679
108800 , 0 , 1030015791
97300 , 0 , 817282541
76300 , 0 , 506572493
21800 , 0 , 55753734
130900 , 0 , 1453751736
198300 , 0 , 3389272338
55700 , 0 , 320778791
96300 , 0 , 805839304
143700 , 0 , 1772339400
193400 , 0 , 3236931891
189500 , 0 , 3088899212
1100 , 0 , 23916211
159700 , 0 , 2187454140
185700 , 0 , 3016280344
61900 , 0 , 352067752
105800 , 0 , 992435897
19400 , 0 , 42544340
178500 , 0 , 2748694618
157900 , 0 , 2138273829
164700 , 0 , 2315200732
57000 , 0 , 291936068
13700 , 0 , 20874104
47600 , 0 , 212668467
137000 , 0 , 1579183041
57600 , 0 , 313053383
64500 , 0 , 371680682
144300 , 0 , 1791852099
28200 , 0 , 70575746
111100 , 0 , 1049340899
195200 , 0 , 3333581222
86000 , 0 , 635648478
61100 , 0 , 339323928
26800 , 0 , 75130443
59200 , 0 , 317001528
4200 , 0 , 8712306
113900 , 0 , 1103775530
102700 , 0 , 930492972
65200 , 0 , 379585471
62700 , 0 , 359765297
164500 , 0 , 2350409441
3300 , 0 , 30794417
41400 , 0 , 152489571
44200 , 0 , 182945912
164900 , 0 , 2299906382
104700 , 0 , 984922583
85800 , 0 , 657332938
61800 , 0 , 336598506
131600 , 0 , 1494920750
7900 , 0 , 47387053
25100 , 0 , 69404530
53700 , 0 , 310100753
91700 , 0 , 750092648
50600 , 0 , 239874792
100 , 0 , 10033897
94000 , 0 , 763766629
3500 , 0 , 9737635
9400 , 0 , 11043908
122300 , 0 , 1293103635
155900 , 0 , 2109739822
116000 , 0 , 1204596922
120200 , 0 , 1266704594
147900 , 0 , 1886049277
177400 , 0 , 2755530017
95800 , 0 , 809400913
8800 , 0 , 26526147
155000 , 0 , 2068834541
111900 , 0 , 1083070986
36800 , 0 , 125669936
66200 , 0 , 377164643
199700 , 0 , 3469218944
83600 , 0 , 593486869
57700 , 0 , 313636425
74200 , 0 , 485322837
156600 , 0 , 2138704996
102400 , 0 , 900845830
192600 , 0 , 3249401455
65300 , 0 , 396067951
24000 , 0 , 55764067
