File Length , Non-Buffered Time Taken (ns)
90300 , 2093473806
75900 , 548948659
98300 , 753871225
70100 , 409804047
81700 , 536767527
63600 , 344450977
92900 , 688011457
131300 , 1307983957
158200 , 1870063310
28800 , 80236996
88800 , 636224330
61500 , 332634924
188600 , 2661284159
108700 , 917996380
105900 , 863694251
126000 , 1209156004
136700 , 1425109668
79500 , 519218238
193600 , 2833985273
115300 , 1032142605
26400 , 67324290
100900 , 804805988
147800 , 1655563515
41500 , 155776654
174500 , 2291898158
92100 , 672590807
99500 , 776147066
114800 , 1012289413
39500 , 145707029
70200 , 399869585
163600 , 2013521788
35200 , 117296958
86300 , 593883859
4500 , 5102686
162400 , 1970704237
136800 , 1431319266
156900 , 1856017552
8600 , 11682143
66000 , 372804693
4900 , 5532443
173300 , 2264769617
110400 , 954756768
65000 , 364040340
146700 , 1619241622
85700 , 589401860
172100 , 2224195268
43900 , 177537185
47200 , 199294562
43600 , 173154814
12000 , 18734173
114900 , 1016233380
94800 , 713635446
17800 , 34680773
6800 , 8355090
196200 , 2864380458
184700 , 2552622237
40300 , 149747110
112300 , 966389961
143500 , 1567931419
14400 , 24451877
109200 , 925299666
136200 , 1402177215
18900 , 43130102
70900 , 418339462
142500 , 1546183539
47300 , 202851254
93100 , 677835110
6500 , 7978071
168800 , 2158297893
182100 , 2477517728
112500 , 973880795
179900 , 2412258764
19900 , 41844240
173500 , 2245412111
69800 , 404728589
133900 , 1363205162
63800 , 339708924
44900 , 179145608
134200 , 1370055145
87400 , 610788250
25900 , 68093569
49800 , 221176604
176600 , 2340700482
76600 , 477568708
186600 , 2623741903
7100 , 9119059
190400 , 2724360437
500 , 483607
2000 , 1958067
47700 , 202730674
57200 , 282071084
62100 , 327930090
187200 , 2594500229
58100 , 292291098
166000 , 2062031324
142700 , 1551362442
174900 , 2290248496
131100 , 1320562458
76200 , 485905978
122600 , 1148394502
163500 , 2013444255
68500 , 385486981
170200 , 2139587320
109400 , 923880768
193300 , 2779705953
38900 , 136935097
160600 , 1916948055
108800 , 925907772
97300 , 732031646
76300 , 465686179
21800 , 49301944
130900 , 1304846478
198300 , 2948321983
55700 , 269170538
96300 , 730268051
143700 , 1547827934
193400 , 2799502967
189500 , 2660510055
1100 , 1091646
159700 , 1917343811
185700 , 2704791385
61900 , 341070737
105800 , 894770757
19400 , 43300421
178500 , 2514673318
157900 , 2130736918
164700 , 2064884369
57000 , 290668153
13700 , 23153762
47600 , 202905691
137000 , 1452036385
57600 , 302129328
64500 , 377526474
144300 , 1768769000
28200 , 90156667
111100 , 1367361389
195200 , 4599074867
86000 , 825137746
61100 , 437382964
26800 , 96773405
59200 , 414962198
4200 , 7033263
113900 , 1393801628
102700 , 1244003946
65200 , 493819433
62700 , 477844817
164500 , 2912591597
3300 , 5296376
41400 , 225575445
44200 , 240495207
