File Length , Buffer Size (Byte), Buffered Time Taken (ns)
90300 , 0 , 18234824
75900 , 0 , 8014338
98300 , 0 , 11122983
70100 , 0 , 10468175
81700 , 0 , 7523749
63600 , 0 , 7478119
92900 , 0 , 8994349
131300 , 0 , 18578554
158200 , 0 , 11822883
28800 , 0 , 14758402
88800 , 0 , 10986654
61500 , 0 , 10294743
188600 , 0 , 13681909
108700 , 0 , 9100105
105900 , 0 , 15142737
126000 , 0 , 17512789
136700 , 0 , 11802779
79500 , 0 , 13408271
193600 , 0 , 14460426
115300 , 0 , 17459308
26400 , 0 , 14157120
100900 , 0 , 10293510
147800 , 0 , 20418654
41500 , 0 , 18184819
174500 , 0 , 13915304
92100 , 0 , 13810308
99500 , 0 , 14472523
114800 , 0 , 11025509
39500 , 0 , 14832468
70200 , 0 , 8046104
163600 , 0 , 11170924
35200 , 0 , 16839010
86300 , 0 , 10136412
4500 , 0 , 5403196
162400 , 0 , 11553677
136800 , 0 , 14085917
156900 , 0 , 17166201
8600 , 0 , 5986124
66000 , 0 , 17521006
4900 , 0 , 8192740
173300 , 0 , 13711667
110400 , 0 , 8847921
65000 , 0 , 12276364
146700 , 0 , 17690815
85700 , 0 , 8828984
172100 , 0 , 15770093
43900 , 0 , 14236450
47200 , 0 , 6025210
43600 , 0 , 11590267
12000 , 0 , 704748
114900 , 0 , 13949626
94800 , 0 , 15170568
17800 , 0 , 14409957
6800 , 0 , 5470606
196200 , 0 , 9017492
184700 , 0 , 11365032
40300 , 0 , 14829467
112300 , 0 , 15956755
143500 , 0 , 16031693
14400 , 0 , 9386703
109200 , 0 , 15400877
136200 , 0 , 12376000
18900 , 0 , 14221278
70900 , 0 , 11841150
142500 , 0 , 17429193
47300 , 0 , 11521284
93100 , 0 , 8411729
6500 , 0 , 9706095
168800 , 0 , 18954399
182100 , 0 , 8849326
112500 , 0 , 13703947
179900 , 0 , 16164419
19900 , 0 , 11233836
173500 , 0 , 11386729
69800 , 0 , 16551468
133900 , 0 , 16068977
63800 , 0 , 12718483
44900 , 0 , 8204583
134200 , 0 , 18068687
87400 , 0 , 17162416
25900 , 0 , 15330609
49800 , 0 , 13688712
176600 , 0 , 17117744
76600 , 0 , 7961269
186600 , 0 , 14858792
7100 , 0 , 7158886
190400 , 0 , 17884218
500 , 0 , 9592640
2000 , 0 , 5298479
47700 , 0 , 10633706
57200 , 0 , 10025006
62100 , 0 , 7240585
187200 , 0 , 8784095
58100 , 0 , 11545497
166000 , 0 , 7927649
142700 , 0 , 9806075
174900 , 0 , 10813406
131100 , 0 , 14803850
76200 , 0 , 14693784
122600 , 0 , 11634673
163500 , 0 , 17752407
68500 , 0 , 11733706
170200 , 0 , 9792170
109400 , 0 , 16222809
193300 , 0 , 18041053
38900 , 0 , 11018572
160600 , 0 , 12923248
108800 , 0 , 10399746
97300 , 0 , 11916387
76300 , 0 , 12493776
21800 , 0 , 12948222
130900 , 0 , 16061112
198300 , 0 , 17174173
55700 , 0 , 12972734
96300 , 0 , 12318835
143700 , 0 , 15009015
193400 , 0 , 10895694
189500 , 0 , 11585999
1100 , 0 , 6365919
159700 , 0 , 11884414
185700 , 0 , 14128433
61900 , 0 , 15459253
105800 , 0 , 10106456
19400 , 0 , 13032234
178500 , 0 , 11684580
157900 , 0 , 10624888
164700 , 0 , 8938780
57000 , 0 , 7074846
13700 , 0 , 12156148
47600 , 0 , 6134971
137000 , 0 , 17284693
57600 , 0 , 13519933
64500 , 0 , 9787909
144300 , 0 , 17875045
28200 , 0 , 10492307
111100 , 0 , 8194308
195200 , 0 , 18995015
86000 , 0 , 17382283
61100 , 0 , 4966003
26800 , 0 , 14562642
59200 , 0 , 10461681
4200 , 0 , 11152228
113900 , 0 , 10103428
102700 , 0 , 8843633
65200 , 0 , 16836327
62700 , 0 , 7063342
164500 , 0 , 17163876
3300 , 0 , 10707440
41400 , 0 , 8143269
44200 , 0 , 13534387
164900 , 0 , 11312479
104700 , 0 , 10142502
85800 , 0 , 14409664
61800 , 0 , 9827684
131600 , 0 , 14083057
7900 , 0 , 7293094
25100 , 0 , 6913714
53700 , 0 , 15742013
91700 , 0 , 15818340
50600 , 0 , 10068997
100 , 0 , 14476762
94000 , 0 , 15985000
3500 , 0 , 8427806
9400 , 0 , 6073967
122300 , 0 , 12069160
155900 , 0 , 14547385
116000 , 0 , 9858597
120200 , 0 , 11008354
147900 , 0 , 9040850
177400 , 0 , 13483470
95800 , 0 , 15646523
8800 , 0 , 5796986
155000 , 0 , 8637833
111900 , 0 , 7246203
36800 , 0 , 14207069
66200 , 0 , 13833149
199700 , 0 , 12650976
83600 , 0 , 14335557
57700 , 0 , 11784413
74200 , 0 , 9390058
156600 , 0 , 9714279
102400 , 0 , 9035186
192600 , 0 , 16380724
65300 , 0 , 15519221
24000 , 0 , 6081725
38100 , 0 , 5953108
58400 , 0 , 10618904
8200 , 0 , 6800329
120400 , 0 , 8073807
152200 , 0 , 9608349
171400 , 0 , 16078651
165200 , 0 , 14203074
171300 , 0 , 2548077
97900 , 0 , 13011322
65400 , 0 , 1603402
170600 , 0 , 18959753
73200 , 0 , 10972711
182300 , 0 , 12932203
84900 , 0 , 11712460
28400 , 0 , 16102119
163700 , 0 , 11982171
186100 , 0 , 16628962
23400 , 0 , 8921383
133500 , 0 , 16754821
198500 , 0 , 18077303
183700 , 0 , 17162597
29800 , 0 , 15380952
148800 , 0 , 15249364
58600 , 0 , 14152073
153900 , 0 , 15741813
149100 , 0 , 25252032
22300 , 0 , 5598057
173200 , 0 , 14076836
83800 , 0 , 12607130
173000 , 0 , 2862172
90900 , 0 , 5206244
111000 , 0 , 6752255
70300 , 0 , 7798593
300 , 0 , 10022821
81600 , 0 , 6380195
132600 , 0 , 11356803
5400 , 0 , 10377310
170700 , 0 , 12757282
196000 , 0 , 12863232
199600 , 0 , 10395412
121900 , 0 , 11378236
45600 , 0 , 10606327
186500 , 0 , 18334158
1600 , 0 , 9548999
15900 , 0 , 9554015
44700 , 0 , 9697727
44400 , 0 , 2183290
181400 , 0 , 16375623
14200 , 0 , 15224749
59800 , 0 , 11765297
152900 , 0 , 16274514
18000 , 0 , 12869872
12900 , 0 , 6283666
160200 , 0 , 9277210
58700 , 0 , 12416314
116700 , 0 , 13486908
16700 , 0 , 9686904
76000 , 0 , 17436063
195500 , 0 , 11878551
78600 , 0 , 16335210
154200 , 0 , 12011712
132500 , 0 , 19430521
128200 , 0 , 18255809
85100 , 0 , 13438902
48900 , 0 , 11824076
17100 , 0 , 10893009
56000 , 0 , 12438151
94100 , 0 , 10929707
71800 , 0 , 6587384
66700 , 0 , 10457238
199500 , 0 , 17945814
47400 , 0 , 10444610
123300 , 0 , 15737650
156800 , 0 , 17458647
32800 , 0 , 16168695
145700 , 0 , 14602317
99300 , 0 , 12086663
194000 , 0 , 18524155
94600 , 0 , 10186152
63300 , 0 , 15945386
110000 , 0 , 11348946
108100 , 0 , 11086725
113700 , 0 , 13747829
198900 , 0 , 14269866
77800 , 0 , 8345529
159900 , 0 , 19253199
177800 , 0 , 12430600
119200 , 0 , 145702373
4700 , 0 , 20780979
128400 , 0 , 15027269
52000 , 0 , 12625987
169000 , 0 , 9194196
55600 , 0 , 13281827
139100 , 0 , 8896720
46700 , 0 , 11329758
130300 , 0 , 9428812
77000 , 0 , 6687416
141600 , 0 , 16363642
38300 , 0 , 10106310
23500 , 0 , 13851526
131200 , 0 , 10239047
75000 , 0 , 6675852
21500 , 0 , 14351376
34100 , 0 , 10310956
126600 , 0 , 8802541
67500 , 0 , 8197993
145800 , 0 , 7647507
151800 , 0 , 13243381
119800 , 0 , 14414206
177900 , 0 , 10390490
36300 , 0 , 11792481
45200 , 0 , 16552323
48600 , 0 , 7816395
199400 , 0 , 10312791
102600 , 0 , 13034730
174800 , 0 , 10534799
150700 , 0 , 16641948
46100 , 0 , 12675388
161800 , 0 , 17037768
112700 , 0 , 15071762
100800 , 0 , 17664381
66500 , 0 , 16162678
196600 , 0 , 9123642
173700 , 0 , 13005692
90500 , 0 , 7503723
53100 , 0 , 11300300
163100 , 0 , 9799253
83100 , 0 , 8937533
104800 , 0 , 8922323
92700 , 0 , 6800580
97600 , 0 , 8698536
156000 , 0 , 7170029
77200 , 0 , 7451596
150800 , 0 , 11419203
128800 , 0 , 9507797
99000 , 0 , 15970301
91900 , 0 , 6321835
188700 , 0 , 17123571
60100 , 0 , 11963850
107700 , 0 , 6919302
129800 , 0 , 12687114
25300 , 0 , 5597131
153600 , 0 , 15058582
183100 , 0 , 7190832
102100 , 0 , 11072063
176500 , 0 , 19465569
115600 , 0 , 8285283
73400 , 0 , 15175391
33700 , 0 , 14976603
114000 , 0 , 9596626
29200 , 0 , 12870660
39300 , 0 , 9920633
170000 , 0 , 11259914
95500 , 0 , 13104659
99400 , 0 , 16183436
76400 , 0 , 6233550
6400 , 0 , 12224803
23900 , 0 , 13154528
80600 , 0 , 11453271
194700 , 0 , 15590449
45700 , 0 , 7748272
80100 , 0 , 10839384
111800 , 0 , 12141109
51500 , 0 , 15165727
13500 , 0 , 8854068
52200 , 0 , 12660332
169700 , 0 , 12074601
144900 , 0 , 10730605
34800 , 0 , 14465150
33800 , 0 , 9523413
122100 , 0 , 17188952
179700 , 0 , 11570226
28600 , 0 , 11848085
95200 , 0 , 8727169
158300 , 0 , 11073916
181800 , 0 , 13268887
11400 , 0 , 15321851
74800 , 0 , 14940798
18300 , 0 , 15738906
62800 , 0 , 4913957
25500 , 0 , 12324324
60900 , 0 , 14968783
164100 , 0 , 11149364
20100 , 0 , 14043822
119900 , 0 , 16409960
92500 , 0 , 6870816
180300 , 0 , 17156684
94200 , 0 , 16509862
111700 , 0 , 10543862
32400 , 0 , 12656625
109100 , 0 , 12694294
130700 , 0 , 17231915
188000 , 0 , 7551794
62500 , 0 , 12933694
93300 , 0 , 12121604
62900 , 0 , 10587617
26200 , 0 , 11634435
116200 , 0 , 13850021
87700 , 0 , 11314750
191700 , 0 , 12041384
800 , 0 , 5723361
175000 , 0 , 11666181
139700 , 0 , 8389678
22500 , 0 , 14595242
70600 , 0 , 11629315
900 , 0 , 615682
56200 , 0 , 9852414
3200 , 0 , 7057960
149900 , 0 , 8805091
117400 , 0 , 10005043
127800 , 0 , 9138399
16400 , 0 , 13769859
165300 , 0 , 14191016
198200 , 0 , 17035305
164800 , 0 , 18562177
87600 , 0 , 13855720
118300 , 0 , 13793764
56700 , 0 , 9781589
169200 , 0 , 8935866
62400 , 0 , 17157795
112000 , 0 , 15485999
106100 , 0 , 11856328
111300 , 0 , 9664991
9600 , 0 , 7748899
174300 , 0 , 15981227
68800 , 0 , 9486283
24900 , 0 , 12690152
75400 , 0 , 7366995
80900 , 0 , 14375346
44800 , 0 , 5645520
166700 , 0 , 17830765
162000 , 0 , 10277637
18500 , 0 , 12013809
119600 , 0 , 7827710
104500 , 0 , 12494331
47900 , 0 , 7773666
52700 , 0 , 14589919
52900 , 0 , 12292648
75600 , 0 , 8445056
197000 , 0 , 11994868
51600 , 0 , 16377106
36100 , 0 , 7203873
75800 , 0 , 2267927
159600 , 0 , 15636785
22100 , 0 , 9764954
139200 , 0 , 11173083
133000 , 0 , 7592135
79000 , 0 , 9061133
128300 , 0 , 12684294
184900 , 0 , 12826442
56500 , 0 , 16328091
99900 , 0 , 16385359
7400 , 0 , 9357332
142400 , 0 , 17667633
57400 , 0 , 6758568
125700 , 0 , 14532628
8300 , 0 , 14029653
192200 , 0 , 11247253
147600 , 0 , 18212413
98500 , 0 , 10153296
179500 , 0 , 11998695
117300 , 0 , 13028597
27100 , 0 , 11839971
147700 , 0 , 3102193
70800 , 0 , 8021766
155600 , 0 , 18994855
194600 , 0 , 12253847
97700 , 0 , 7617531
133300 , 0 , 12703245
63200 , 0 , 6939144
151700 , 0 , 13357325
97400 , 0 , 7164441
43300 , 0 , 15050459
180700 , 0 , 17549359
10000 , 0 , 14798182
106900 , 0 , 9751885
186300 , 0 , 13519536
13200 , 0 , 10177063
100500 , 0 , 11550808
58500 , 0 , 7818548
163900 , 0 , 9205131
83500 , 0 , 15699898
113100 , 0 , 11350121
192100 , 0 , 13694096
2800 , 0 , 9587391
148400 , 0 , 13005286
