File Length , Non-Buffered Time Taken (ns)
90300 , 108894856
75900 , 66593586
98300 , 113754559
70100 , 81310381
81700 , 69002651
63600 , 53706768
92900 , 78394540
131300 , 111100958
158200 , 133237747
28800 , 25074219
88800 , 74905560
61500 , 51760991
188600 , 168323861
108700 , 91460822
105900 , 89351398
126000 , 106362857
136700 , 115163504
79500 , 66705536
193600 , 164661387
115300 , 97099497
26400 , 22265825
100900 , 84618595
147800 , 125196893
41500 , 35016094
174500 , 149635459
92100 , 77749734
99500 , 83701679
114800 , 96535150
39500 , 33245985
70200 , 58650771
163600 , 136841418
35200 , 29626893
86300 , 72793224
4500 , 3757011
162400 , 137090435
136800 , 115766811
156900 , 131540191
8600 , 7610057
66000 , 54989658
4900 , 4194703
173300 , 145400070
110400 , 93918467
65000 , 54815560
146700 , 123046945
85700 , 72353951
172100 , 144716805
43900 , 37161148
47200 , 40396810
43600 , 37067744
12000 , 10229173
114900 , 96760944
94800 , 80027664
17800 , 15301031
6800 , 5674813
196200 , 164698492
184700 , 154926109
40300 , 33962667
112300 , 98288806
143500 , 121729521
14400 , 12227080
109200 , 91339583
136200 , 115148698
18900 , 16027249
70900 , 59513582
142500 , 119395910
47300 , 42082365
93100 , 78842033
6500 , 5562194
168800 , 143686671
182100 , 158195394
112500 , 96351832
179900 , 152376350
19900 , 17083810
173500 , 147308846
69800 , 58754282
133900 , 112496181
63800 , 54181200
44900 , 37784110
134200 , 112630019
87400 , 73637172
25900 , 22528248
49800 , 42188901
176600 , 147586939
76600 , 65028686
186600 , 157734077
7100 , 5991969
190400 , 161111634
500 , 474592
2000 , 1682310
47700 , 40417574
57200 , 48432195
62100 , 52424987
187200 , 156972461
58100 , 49280289
166000 , 139263290
142700 , 121370490
174900 , 147889859
131100 , 111430555
76200 , 63828206
122600 , 103737979
163500 , 137409740
68500 , 57424534
170200 , 144779952
109400 , 92075444
193300 , 163567828
38900 , 32502304
160600 , 134366395
108800 , 92128990
97300 , 81989824
76300 , 63703548
21800 , 18346249
130900 , 110632341
198300 , 165143294
55700 , 47351395
96300 , 81710330
143700 , 121776740
193400 , 163937478
189500 , 159734531
1100 , 934957
159700 , 133993226
185700 , 158483653
