File Length , Buffer Size (Byte), Buffered Time Taken (ns)
90300 , 0 , 16536013
75900 , 0 , 19202606
98300 , 0 , 10215659
70100 , 0 , 9865425
81700 , 0 , 7679749
63600 , 0 , 18124018
92900 , 0 , 9451622
131300 , 0 , 18784409
158200 , 0 , 11361446
28800 , 0 , 13972573
88800 , 0 , 10813959
61500 , 0 , 10543764
188600 , 0 , 13963135
108700 , 0 , 9104231
105900 , 0 , 16174726
126000 , 0 , 15724071
136700 , 0 , 13313821
79500 , 0 , 12127125
193600 , 0 , 14954454
115300 , 0 , 17886744
26400 , 0 , 13697763
100900 , 0 , 11298028
147800 , 0 , 17763976
41500 , 0 , 8388344
174500 , 0 , 14142466
92100 , 0 , 13557736
99500 , 0 , 14403051
114800 , 0 , 11004900
39500 , 0 , 15138854
70200 , 0 , 8039570
163600 , 0 , 10800769
35200 , 0 , 6384587
86300 , 0 , 10484984
4500 , 0 , 5214113
162400 , 0 , 12182325
136800 , 0 , 13650640
156900 , 0 , 17468446
8600 , 0 , 5459735
66000 , 0 , 6674903
4900 , 0 , 8075892
173300 , 0 , 14478312
110400 , 0 , 8246473
65000 , 0 , 12153086
146700 , 0 , 18175011
85700 , 0 , 8611963
172100 , 0 , 16224725
43900 , 0 , 13915914
47200 , 0 , 17044434
43600 , 0 , 11526616
12000 , 0 , 11655126
114900 , 0 , 14026619
94800 , 0 , 15333341
17800 , 0 , 14314708
6800 , 0 , 5152650
196200 , 0 , 9491303
184700 , 0 , 11613390
40300 , 0 , 14911167
112300 , 0 , 15534951
143500 , 0 , 16315407
14400 , 0 , 8777431
109200 , 0 , 15634825
136200 , 0 , 12759533
18900 , 0 , 13609690
70900 , 0 , 12108213
142500 , 0 , 17845891
47300 , 0 , 10808057
93100 , 0 , 6961942
6500 , 0 , 11009792
168800 , 0 , 18009786
182100 , 0 , 8913413
112500 , 0 , 15602187
179900 , 0 , 14540445
19900 , 0 , 11693202
173500 , 0 , 10772963
69800 , 0 , 16829047
133900 , 0 , 16150938
63800 , 0 , 12309699
44900 , 0 , 10513537
134200 , 0 , 15910932
87400 , 0 , 6327802
25900 , 0 , 15747545
49800 , 0 , 13428979
176600 , 0 , 18271268
76600 , 0 , 7529297
186600 , 0 , 15209894
7100 , 0 , 6582156
190400 , 0 , 21495406
500 , 0 , 5812467
2000 , 0 , 5514174
47700 , 0 , 11517054
57200 , 0 , 10557479
62100 , 0 , 18191406
187200 , 0 , 22558267
58100 , 0 , 7656000
166000 , 0 , 8969108
142700 , 0 , 9109801
174900 , 0 , 9922148
131100 , 0 , 14444538
76200 , 0 , 14988577
122600 , 0 , 11487580
163500 , 0 , 17415355
68500 , 0 , 12104726
