File Length , Non-Buffered Time Taken (ns)
90300 , 110222982
75900 , 95604467
98300 , 118633213
70100 , 71781095
81700 , 81334874
63600 , 72265192
92900 , 86434484
131300 , 133383062
158200 , 153288554
28800 , 39512355
88800 , 91402363
61500 , 62638486
188600 , 180894403
108700 , 104694179
105900 , 97619260
126000 , 124229801
136700 , 133604079
79500 , 85507447
193600 , 180390776
115300 , 113373935
26400 , 34106463
100900 , 97983724
147800 , 146328961
41500 , 47418617
174500 , 162547016
92100 , 88858425
99500 , 95372600
114800 , 112645642
39500 , 58136306
70200 , 70001423
163600 , 157211173
35200 , 37456968
86300 , 90824411
4500 , 9260023
162400 , 157163080
136800 , 125065256
156900 , 149372203
8600 , 16839681
66000 , 67973431
4900 , 9611192
173300 , 163676635
110400 , 103122517
65000 , 74831016
146700 , 143770624
85700 , 87692263
172100 , 165744043
43900 , 46572232
47200 , 54702558
43600 , 50267581
12000 , 18720278
114900 , 114806727
94800 , 98192269
17800 , 21559291
6800 , 18759237
196200 , 181933627
184700 , 171162792
40300 , 39232258
112300 , 114801918
143500 , 141063464
14400 , 18626405
109200 , 105289603
136200 , 128164092
18900 , 31114749
70900 , 70564744
142500 , 130151711
47300 , 54245328
93100 , 87922545
6500 , 14724604
168800 , 155398682
182100 , 168323785
112500 , 105584937
179900 , 177264338
19900 , 33658229
173500 , 169013989
69800 , 69202070
133900 , 125865461
63800 , 71604951
44900 , 46573057
134200 , 118951066
87400 , 85260605
25900 , 30275644
49800 , 55235656
176600 , 171486271
76600 , 73930766
186600 , 175271445
7100 , 18881489
190400 , 182545803
500 , 4252068
2000 , 6594099
47700 , 49344676
57200 , 62449967
62100 , 73931949
187200 , 179920523
58100 , 61979954
166000 , 155839644
142700 , 132783526
174900 , 214096623
131100 , 132208996
76200 , 75714852
122600 , 120435251
163500 , 151282906
68500 , 71212558
170200 , 161311879
109400 , 108787090
193300 , 183687120
38900 , 55857279
160600 , 151340770
108800 , 101868435
97300 , 101501636
76300 , 82335051
21800 , 30875269
130900 , 122691978
198300 , 182899656
55700 , 58391557
96300 , 88702083
143700 , 135233307
193400 , 183176926
189500 , 178339371
