File Length , Buffer Size (Byte), Buffered Time Taken (ns)
90300 , 0 , 11737814
75900 , 0 , 8563175
98300 , 0 , 11524522
70100 , 0 , 9107203
81700 , 0 , 7327464
63600 , 0 , 7066056
92900 , 0 , 9572505
131300 , 0 , 18534575
158200 , 0 , 12033412
28800 , 0 , 14238426
88800 , 0 , 11376735
61500 , 0 , 10165153
188600 , 0 , 15566910
108700 , 0 , 19185150
105900 , 0 , 15741818
126000 , 0 , 15091579
136700 , 0 , 11571898
79500 , 0 , 13658834
193600 , 0 , 13690673
115300 , 0 , 7671591
26400 , 0 , 14014409
100900 , 0 , 10994441
147800 , 0 , 18071885
41500 , 0 , 7950931
174500 , 0 , 14182268
92100 , 0 , 13936999
99500 , 0 , 14279407
114800 , 0 , 10919779
39500 , 0 , 15327861
70200 , 0 , 7827179
163600 , 0 , 10797457
35200 , 0 , 6560043
86300 , 0 , 10434201
4500 , 0 , 5352508
162400 , 0 , 11954751
136800 , 0 , 13623848
156900 , 0 , 17343860
8600 , 0 , 5856582
66000 , 0 , 6475222
4900 , 0 , 8255829
173300 , 0 , 14124709
110400 , 0 , 8426963
65000 , 0 , 12260037
146700 , 0 , 17995194
85700 , 0 , 8687269
172100 , 0 , 15833014
43900 , 0 , 14197510
47200 , 0 , 5996283
43600 , 0 , 11532585
12000 , 0 , 11861472
114900 , 0 , 13858262
94800 , 0 , 15281512
17800 , 0 , 14311845
6800 , 0 , 5388525
196200 , 0 , 9315367
184700 , 0 , 11330774
40300 , 0 , 15195716
112300 , 0 , 15439373
143500 , 0 , 16192051
14400 , 0 , 9287169
109200 , 0 , 15547518
136200 , 0 , 12550281
18900 , 0 , 13928138
70900 , 0 , 12523359
142500 , 0 , 16922202
47300 , 0 , 11434115
93100 , 0 , 6912628
6500 , 0 , 10998457
168800 , 0 , 17901465
182100 , 0 , 8693797
112500 , 0 , 14965585
179900 , 0 , 15167407
19900 , 0 , 12036528
173500 , 0 , 10387717
69800 , 0 , 17169137
133900 , 0 , 16403477
63800 , 0 , 12038425
44900 , 0 , 8766138
134200 , 0 , 17484539
87400 , 0 , 6489365
25900 , 0 , 15983535
49800 , 0 , 13683161
176600 , 0 , 19993450
76600 , 0 , 17385613
186600 , 0 , 16815975
7100 , 0 , 14988791
190400 , 0 , 21343032
500 , 0 , 5991453
2000 , 0 , 5333006
47700 , 0 , 11365276
57200 , 0 , 10558796
62100 , 0 , 17416506
187200 , 0 , 10190827
58100 , 0 , 10172817
166000 , 0 , 10485682
142700 , 0 , 19032222
174900 , 0 , 11043053
131100 , 0 , 14413613
76200 , 0 , 14205606
122600 , 0 , 12178402
163500 , 0 , 16686133
68500 , 0 , 11844432
170200 , 0 , 11174443
109400 , 0 , 13938081
193300 , 0 , 17584393
38900 , 0 , 12011251
160600 , 0 , 10671634
108800 , 0 , 12180551
97300 , 0 , 11944455
76300 , 0 , 12551048
21800 , 0 , 13329773
130900 , 0 , 16295945
198300 , 0 , 18401946
55700 , 0 , 11802305
96300 , 0 , 12482369
143700 , 0 , 15813235
193400 , 0 , 11702859
189500 , 0 , 9734036
1100 , 0 , 6220031
159700 , 0 , 13002562
185700 , 0 , 13622444
61900 , 0 , 15241024
105800 , 0 , 10471519
19400 , 0 , 12456252
178500 , 0 , 13186045
157900 , 0 , 10533610
164700 , 0 , 9482351
57000 , 0 , 16515634
13700 , 0 , 11791469
47600 , 0 , 6812278
137000 , 0 , 18718758
57600 , 0 , 11433380
64500 , 0 , 9632209
144300 , 0 , 17478755
28200 , 0 , 10698588
111100 , 0 , 7602574
195200 , 0 , 19126803
86000 , 0 , 34273756
61100 , 0 , 14013599
26800 , 0 , 11071453
59200 , 0 , 10814730
4200 , 0 , 10889998
113900 , 0 , 10986099
102700 , 0 , 9473622
65200 , 0 , 16450450
62700 , 0 , 7120668
164500 , 0 , 17558620
3300 , 0 , 9238654
41400 , 0 , 8542562
44200 , 0 , 13567412
164900 , 0 , 12557502
104700 , 0 , 9126036
85800 , 0 , 14645960
61800 , 0 , 9702770
131600 , 0 , 15587506
7900 , 0 , 16090763
25100 , 0 , 6903129
53700 , 0 , 16399341
91700 , 0 , 16259912
50600 , 0 , 10081595
100 , 0 , 13319280
94000 , 0 , 17710885
3500 , 0 , 6644738
9400 , 0 , 6203858
122300 , 0 , 13972798
155900 , 0 , 15079453
116000 , 0 , 9158915
120200 , 0 , 11695990
147900 , 0 , 22477440
177400 , 0 , 10604485
95800 , 0 , 15205923
8800 , 0 , 15364222
155000 , 0 , 9431488
111900 , 0 , 18205337
36800 , 0 , 13805249
66200 , 0 , 14775949
199700 , 0 , 14386702
83600 , 0 , 11939867
57700 , 0 , 12003923
74200 , 0 , 9978845
156600 , 0 , 11690831
102400 , 0 , 18224548
192600 , 0 , 18923459
65300 , 0 , 12145362
24000 , 0 , 16706375
38100 , 0 , 6165463
58400 , 0 , 11264349
8200 , 0 , 16539478
120400 , 0 , 10535191
152200 , 0 , 21168120
171400 , 0 , 15579504
165200 , 0 , 14094924
171300 , 0 , 5272192
97900 , 0 , 9104382
65400 , 0 , 16822354
170600 , 0 , 15066748
73200 , 0 , 9897257
182300 , 0 , 24347456
84900 , 0 , 10315447
28400 , 0 , 16164394
163700 , 0 , 12560732
186100 , 0 , 17493886
23400 , 0 , 8004775
133500 , 0 , 18090152
198500 , 0 , 16997964
183700 , 0 , 17999275
29800 , 0 , 14367174
148800 , 0 , 16741324
58600 , 0 , 12735839
153900 , 0 , 16958999
149100 , 0 , 15303042
22300 , 0 , 14439955
173200 , 0 , 17138400
83800 , 0 , 11064049
173000 , 0 , 5031783
90900 , 0 , 13713421
111000 , 0 , 18199567
70300 , 0 , 18189630
300 , 0 , 8526673
81600 , 0 , 8524664
132600 , 0 , 12031576
5400 , 0 , 7634883
170700 , 0 , 15172808
196000 , 0 , 11984991
199600 , 0 , 21908564
121900 , 0 , 9622539
45600 , 0 , 10670839
186500 , 0 , 19086118
1600 , 0 , 8320559
15900 , 0 , 9709275
44700 , 0 , 9294262
44400 , 0 , 9520535
181400 , 0 , 19495335
14200 , 0 , 15802659
59800 , 0 , 12192791
152900 , 0 , 16240587
18000 , 0 , 12656338
12900 , 0 , 6265829
160200 , 0 , 9020982
58700 , 0 , 12570603
116700 , 0 , 13833301
16700 , 0 , 9556281
76000 , 0 , 17507213
195500 , 0 , 10680558
78600 , 0 , 17777386
154200 , 0 , 12677653
132500 , 0 , 19363527
128200 , 0 , 18112091
85100 , 0 , 13077502
48900 , 0 , 11646363
17100 , 0 , 10709343
56000 , 0 , 12649482
94100 , 0 , 12266264
71800 , 0 , 17323360
66700 , 0 , 10392297
199500 , 0 , 17231083
47400 , 0 , 10013232
123300 , 0 , 16028491
156800 , 0 , 17447080
32800 , 0 , 15919067
145700 , 0 , 13702532
99300 , 0 , 12509347
194000 , 0 , 17714850
94600 , 0 , 11363268
63300 , 0 , 15970783
110000 , 0 , 10437605
108100 , 0 , 11628642
113700 , 0 , 13325941
198900 , 0 , 15327195
77800 , 0 , 20083123
159900 , 0 , 19357242
177800 , 0 , 13014122
119200 , 0 , 14683529
4700 , 0 , 6996414
128400 , 0 , 17150284
52000 , 0 , 11633010
169000 , 0 , 10938659
55600 , 0 , 11430378
139100 , 0 , 18956829
46700 , 0 , 11047095
