File Length , Non-Buffered Time Taken (ns)
90300 , 105476141
75900 , 84425037
98300 , 147918462
70100 , 79269221
81700 , 81798911
63600 , 64000569
92900 , 90459527
131300 , 131948415
158200 , 155697578
28800 , 40847264
88800 , 85091899
61500 , 67653744
188600 , 180406568
108700 , 117124484
105900 , 148974143
126000 , 136193677
136700 , 132174127
79500 , 84574122
193600 , 190139613
115300 , 161628501
26400 , 34010255
100900 , 117240734
147800 , 142026252
41500 , 96154628
174500 , 166541233
92100 , 109191816
99500 , 93199042
114800 , 114408353
39500 , 44582996
70200 , 71795272
163600 , 161920456
35200 , 42377625
86300 , 88020467
4500 , 13680672
162400 , 154305350
136800 , 132636408
156900 , 152980195
8600 , 16701099
66000 , 68904744
4900 , 8717683
173300 , 165566742
110400 , 105895371
65000 , 71703676
146700 , 143908056
85700 , 84655049
172100 , 167517841
43900 , 47077520
47200 , 54568354
43600 , 49117472
12000 , 17981480
114900 , 114213920
94800 , 95756858
17800 , 26166486
6800 , 18026503
196200 , 186410670
184700 , 175560095
40300 , 42545868
112300 , 113073443
143500 , 142997400
14400 , 27117573
109200 , 106525681
136200 , 125494605
18900 , 22786407
70900 , 70034919
142500 , 134524153
47300 , 50147586
93100 , 87755812
6500 , 14968330
168800 , 158805526
182100 , 175383508
112500 , 105971772
179900 , 168407573
19900 , 42837936
173500 , 169293300
69800 , 70349635
133900 , 123397104
63800 , 72954115
44900 , 46385030
134200 , 120586129
87400 , 85839039
25900 , 39071060
49800 , 53466694
176600 , 162590142
76600 , 75220276
186600 , 180545610
7100 , 11840609
190400 , 177259158
500 , 9378836
2000 , 6709625
47700 , 50782450
57200 , 61104996
62100 , 68296649
187200 , 175090387
58100 , 59448503
166000 , 158898477
142700 , 133612972
174900 , 170031605
131100 , 147846547
76200 , 78481603
122600 , 121223770
163500 , 153298602
68500 , 69888769
170200 , 162571738
109400 , 108729531
193300 , 180796713
38900 , 39195884
160600 , 150184503
108800 , 112855897
97300 , 98603057
76300 , 81503459
21800 , 32072933
130900 , 121288264
198300 , 185717101
55700 , 55222355
96300 , 92969899
143700 , 142501544
193400 , 184808019
189500 , 174763244
1100 , 8440178
159700 , 148454549
185700 , 169600468
61900 , 74683102
105800 , 109215932
19400 , 33232115
178500 , 178327560
157900 , 146251114
164700 , 162526489
57000 , 64662312
13700 , 18992137
47600 , 56444193
137000 , 130829499
57600 , 69052379
64500 , 67267071
144300 , 138382626
28200 , 33546421
111100 , 109212454
195200 , 181070628
86000 , 89344820
61100 , 59443736
26800 , 29480496
59200 , 60648555
4200 , 7911022
113900 , 125492058
102700 , 97984040
65200 , 74692045
62700 , 59145884
164500 , 159007721
3300 , 26661597
41400 , 51785240
44200 , 50059034
164900 , 159350832
104700 , 97819500
85800 , 89602572
61800 , 71469086
131600 , 123162097
7900 , 21808158
25100 , 33091729
53700 , 63688150
91700 , 89402062
50600 , 53710937
100 , 14663214
94000 , 95857835
3500 , 8474741
9400 , 22522672
122300 , 119811779
155900 , 149264639
116000 , 118575437
120200 , 117596837
147900 , 145195328
177400 , 160979693
95800 , 97789769
8800 , 17824688
155000 , 147368427
111900 , 112968211
36800 , 47175875
66200 , 70462247
199700 , 183593093
83600 , 81637688
57700 , 53200559
74200 , 71423392
156600 , 144707010
102400 , 104295710
192600 , 183863800
65300 , 70103595
24000 , 35169626
38100 , 39981487
58400 , 61680657
8200 , 18737908
120400 , 115149523
152200 , 148926804
171400 , 168504923
165200 , 158941134
171300 , 154072241
97900 , 102236009
65400 , 62913760
170600 , 160478404
73200 , 69006133
182300 , 181714848
84900 , 86076155
28400 , 32335290
163700 , 180340157
186100 , 231521955
23400 , 39179167
133500 , 123357243
198500 , 184322901
183700 , 173592566
29800 , 32045430
148800 , 140264985
58600 , 56038764
153900 , 143063150
149100 , 135846965
22300 , 23630213
173200 , 170018199
83800 , 85403803
173000 , 163958875
90900 , 93776009
111000 , 112286117
70300 , 70202769
300 , 5788932
81600 , 77163248
132600 , 119568859
5400 , 11961796
170700 , 179033625
196000 , 192827822
199600 , 194311588
121900 , 260876461
45600 , 53095661
186500 , 177321116
1600 , 15350061
15900 , 21820916
44700 , 45381289
44400 , 42403495
181400 , 169472428
14200 , 28015651
59800 , 60597345
152900 , 143791613
18000 , 25384921
12900 , 24534647
160200 , 146926840
58700 , 56385084
116700 , 109004638
16700 , 20701749
