File Length , Buffer Size (Byte), Buffered Time Taken (ns)
104857600 , 1 , 102124727583
104857600 , 2 , 51138666938
104857600 , 3 , 34270186533
104857600 , 4 , 25902442279
104857600 , 5 , 20848529879
104857600 , 6 , 17509151255
104857600 , 7 , 15212512384
104857600 , 8 , 13231912355
104857600 , 9 , 11880899318
104857600 , 10 , 10805506269
104857600 , 11 , 9896958972
104857600 , 12 , 9256102524
104857600 , 13 , 8616929806
104857600 , 14 , 8101503692
104857600 , 15 , 7564919418
104857600 , 16 , 7056564127
104857600 , 17 , 7505367274
104857600 , 18 , 6605444023
104857600 , 19 , 6196215410
104857600 , 20 , 5944009249
104857600 , 21 , 5692802050
104857600 , 22 , 5452671106
104857600 , 23 , 5297957793
104857600 , 24 , 5122680857
104857600 , 25 , 4939566567
104857600 , 26 , 4772658477
104857600 , 27 , 4630202965
104857600 , 28 , 4521280314
104857600 , 29 , 4359490129
104857600 , 30 , 4275857466
104857600 , 31 , 4143085810
104857600 , 32 , 4071408522
104857600 , 33 , 3954943477
104857600 , 34 , 3854972967
104857600 , 35 , 3761759833
104857600 , 36 , 3708798148
104857600 , 37 , 3627303139
104857600 , 38 , 3529487395
104857600 , 39 , 3482586440
104857600 , 40 , 3420133586
104857600 , 41 , 3375511830
104857600 , 42 , 3310175980
104857600 , 43 , 3243665378
104857600 , 44 , 3176970098
104857600 , 45 , 3140441912
104857600 , 46 , 3094096950
104857600 , 47 , 3079935574
104857600 , 48 , 3003860392
104857600 , 49 , 2966576372
104857600 , 50 , 2896068488
104857600 , 51 , 2894367618
104857600 , 52 , 2869211172
104857600 , 53 , 2797684899
104857600 , 54 , 2772288863
104857600 , 55 , 2742137640
104857600 , 56 , 2701993140
104857600 , 57 , 2685678267
104857600 , 58 , 2637851793
104857600 , 59 , 2602671920
104857600 , 60 , 2588108134
104857600 , 61 , 2561742625
104857600 , 62 , 2530753197
104857600 , 63 , 2493469113
104857600 , 64 , 2480731985
104857600 , 65 , 2463004673
104857600 , 66 , 2434164768
104857600 , 67 , 2423176939
104857600 , 68 , 2423006935
104857600 , 69 , 3309659549
104857600 , 70 , 2335199117
104857600 , 71 , 2308572117
104857600 , 72 , 2297923717
104857600 , 73 , 2277570214
104857600 , 74 , 2261612971
104857600 , 75 , 2235129553
104857600 , 76 , 2203767103
104857600 , 77 , 2201063497
104857600 , 78 , 2187223383
104857600 , 79 , 2171114263
104857600 , 80 , 2163510530
104857600 , 81 , 2132669968
104857600 , 82 , 2124568044
104857600 , 83 , 2101188351
104857600 , 84 , 2101044653
104857600 , 85 , 2090022894
104857600 , 86 , 2076772470
104857600 , 87 , 2049608193
104857600 , 88 , 2046560426
104857600 , 89 , 2039837967
104857600 , 90 , 2007858775
104857600 , 91 , 1996779774
104857600 , 92 , 1993916524
104857600 , 93 , 1982743006
104857600 , 94 , 1979463409
104857600 , 95 , 1957608017
104857600 , 96 , 1934258447
104857600 , 97 , 1941547677
104857600 , 98 , 1941812696
104857600 , 99 , 1908858774
104857600 , 100 , 1907949350
104857600 , 101 , 1889813666
104857600 , 102 , 1878688876
104857600 , 103 , 1872543020
104857600 , 104 , 1875001058
104857600 , 105 , 1988850911
104857600 , 106 , 1871706075
104857600 , 107 , 1851524023
104857600 , 108 , 1837061236
104857600 , 109 , 1824117736
104857600 , 110 , 1802860011
104857600 , 111 , 1804976149
104857600 , 112 , 1797895827
104857600 , 113 , 1786815716
104857600 , 114 , 1794236423
104857600 , 115 , 1762856840
104857600 , 116 , 1769434406
104857600 , 117 , 1749859415
104857600 , 118 , 1752116316
104857600 , 119 , 1747714104
104857600 , 120 , 1737318459
104857600 , 121 , 1717348678
104857600 , 122 , 1713893808
104857600 , 123 , 1725519851
104857600 , 124 , 1696646606
104857600 , 125 , 1712756787
104857600 , 126 , 1690912335
104857600 , 127 , 1685820871
104857600 , 128 , 1703625207
104857600 , 129 , 1685743646
104857600 , 130 , 1676154930
104857600 , 131 , 1680656180
104857600 , 132 , 1669479725
104857600 , 133 , 1672483274
104857600 , 134 , 1669705461
104857600 , 135 , 1656571827
104857600 , 136 , 1663925352
104857600 , 137 , 1647822013
104857600 , 138 , 1647626560
104857600 , 139 , 1639779212
104857600 , 140 , 1628240128
104857600 , 141 , 1628480352
104857600 , 142 , 1627814790
104857600 , 143 , 1625233999
104857600 , 144 , 1609971358
104857600 , 145 , 1622110934
104857600 , 146 , 1608743540
104857600 , 147 , 1599465938
104857600 , 148 , 1607205328
104857600 , 149 , 1587614643
104857600 , 150 , 1578184317
104857600 , 151 , 1586794386
104857600 , 152 , 1575207463
104857600 , 153 , 1578456423
104857600 , 154 , 1575529960
104857600 , 155 , 1562605528
104857600 , 156 , 1558370675
104857600 , 157 , 1553496051
104857600 , 158 , 1563013905
104857600 , 159 , 1544052991
104857600 , 160 , 1550680012
104857600 , 161 , 1537511200
104857600 , 162 , 1528306625
104857600 , 163 , 1517602776
104857600 , 164 , 1515010303
104857600 , 165 , 1520792505
104857600 , 166 , 1521384013
104857600 , 167 , 1518829784
104857600 , 168 , 1518047179
104857600 , 169 , 1515592538
104857600 , 170 , 1491400145
104857600 , 171 , 1509056023
104857600 , 172 , 1486815376
104857600 , 173 , 1489224476
104857600 , 174 , 1490745105
104857600 , 175 , 1487277867
104857600 , 176 , 1486860246
104857600 , 177 , 1479360423
104857600 , 178 , 1478322275
104857600 , 179 , 1481247328
104857600 , 180 , 1465403333
104857600 , 181 , 1470680825
104857600 , 182 , 1461720361
104857600 , 183 , 1461244959
104857600 , 184 , 1470334705
104857600 , 185 , 1455700974
104857600 , 186 , 1449184122
104857600 , 187 , 1453558215
104857600 , 188 , 1445855199
104857600 , 189 , 1450228248
104857600 , 190 , 1445003695
104857600 , 191 , 1433664058
104857600 , 192 , 1439911088
104857600 , 193 , 1431307879
104857600 , 194 , 1432143120
104857600 , 195 , 1424949297
104857600 , 196 , 1419597485
104857600 , 197 , 1411730875
104857600 , 198 , 1409268695
104857600 , 199 , 1415486570
104857600 , 200 , 1421331111
104857600 , 201 , 1422239435
104857600 , 202 , 1406026566
104857600 , 203 , 1408121708
104857600 , 204 , 1396731845
104857600 , 205 , 1397507748
104857600 , 206 , 1399552362
104857600 , 207 , 1406301007
104857600 , 208 , 1401796414
104857600 , 209 , 1389583741
104857600 , 210 , 1392348275
104857600 , 211 , 1387784318
104857600 , 212 , 1388467398
104857600 , 213 , 1389396120
104857600 , 214 , 1385449709
104857600 , 215 , 1372353674
104857600 , 216 , 1374756522
104857600 , 217 , 1382149010
104857600 , 218 , 1369250183
104857600 , 219 , 1363132267
104857600 , 220 , 1359203696
104857600 , 221 , 1374075365
104857600 , 222 , 1364172872
104857600 , 223 , 1352898235
104857600 , 224 , 1347373753
104857600 , 225 , 1355627713
104857600 , 226 , 1353653930
104857600 , 227 , 1359018839
104857600 , 228 , 1368208911
104857600 , 229 , 1425450091
104857600 , 230 , 1365888539
104857600 , 231 , 1360537760
