File Length , Buffer Size (Byte), Buffered Time Taken (ns)
100 , 0 , 105191
200 , 0 , 86177
300 , 0 , 90374
400 , 0 , 90830
500 , 0 , 108682
600 , 0 , 151410
700 , 0 , 168792
800 , 0 , 119133
900 , 0 , 84804
1000 , 0 , 88773
1100 , 0 , 117793
1200 , 0 , 108289
1300 , 0 , 114513
1400 , 0 , 121339
1500 , 0 , 160207
1600 , 0 , 139783
1700 , 0 , 138858
1800 , 0 , 146590
1900 , 0 , 150979
2000 , 0 , 157059
2100 , 0 , 172932
2200 , 0 , 254784
2300 , 0 , 195198
2400 , 0 , 216415
2500 , 0 , 173033
2600 , 0 , 211226
2700 , 0 , 190922
2800 , 0 , 198100
2900 , 0 , 213729
3000 , 0 , 211585
3100 , 0 , 213060
3200 , 0 , 223575
3300 , 0 , 224830
3400 , 0 , 230380
3500 , 0 , 249407
3600 , 0 , 248808
3700 , 0 , 253866
3800 , 0 , 261073
3900 , 0 , 274433
4000 , 0 , 300830
4100 , 0 , 312795
4200 , 0 , 291397
4300 , 0 , 312807
4400 , 0 , 316921
4500 , 0 , 306290
4600 , 0 , 309339
4700 , 0 , 316845
4800 , 0 , 339079
4900 , 0 , 347621
5000 , 0 , 338238
5100 , 0 , 259435
5200 , 0 , 160721
5300 , 0 , 142844
5400 , 0 , 145183
5500 , 0 , 178073
5600 , 0 , 151017
5700 , 0 , 152541
5800 , 0 , 153803
5900 , 0 , 155957
6000 , 0 , 155293
6100 , 0 , 188143
6200 , 0 , 291231
6300 , 0 , 167546
6400 , 0 , 164248
6500 , 0 , 167806
6600 , 0 , 192902
6700 , 0 , 177326
6800 , 0 , 202730
6900 , 0 , 177337
7000 , 0 , 177417
7100 , 0 , 180066
7200 , 0 , 203781
7300 , 0 , 199770
7400 , 0 , 189752
7500 , 0 , 195374
7600 , 0 , 192955
7700 , 0 , 462323
7800 , 0 , 206187
7900 , 0 , 197795
8000 , 0 , 198482
8100 , 0 , 200226
8200 , 0 , 467381
8300 , 0 , 706876
8400 , 0 , 249910
8500 , 0 , 237482
8600 , 0 , 256988
8700 , 0 , 246261
8800 , 0 , 242327
8900 , 0 , 245559
9000 , 0 , 296627
9100 , 0 , 271614
9200 , 0 , 255106
9300 , 0 , 253435
9400 , 0 , 256874
9500 , 0 , 262298
9600 , 0 , 262938
9700 , 0 , 267689
9800 , 0 , 265052
9900 , 0 , 265429
10000 , 0 , 308919
10100 , 0 , 294752
10200 , 0 , 275995
10300 , 0 , 275775
10400 , 0 , 279528
10500 , 0 , 322748
10600 , 0 , 298813
10700 , 0 , 419401
10800 , 0 , 292765
10900 , 0 , 314780
11000 , 0 , 315542
11100 , 0 , 304029
11200 , 0 , 302892
11300 , 0 , 301405
11400 , 0 , 301737
11500 , 0 , 306313
11600 , 0 , 328635
11700 , 0 , 381312
11800 , 0 , 336176
11900 , 0 , 376071
12000 , 0 , 351483
12100 , 0 , 322863
12200 , 0 , 324365
12300 , 0 , 324867
12400 , 0 , 347038
12500 , 0 , 330791
12600 , 0 , 334622
12700 , 0 , 336535
12800 , 0 , 344136
12900 , 0 , 372383
13000 , 0 , 349897
13100 , 0 , 346601
13200 , 0 , 364382
13300 , 0 , 349760
13400 , 0 , 350735
13500 , 0 , 371483
13600 , 0 , 355906
13700 , 0 , 357038
13800 , 0 , 365527
13900 , 0 , 379473
14000 , 0 , 494397
14100 , 0 , 407239
14200 , 0 , 378184
14300 , 0 , 374638
14400 , 0 , 374242
14500 , 0 , 397072
14600 , 0 , 394021
14700 , 0 , 392715
14800 , 0 , 408033
14900 , 0 , 392780
15000 , 0 , 419372
15100 , 0 , 411868
15200 , 0 , 396223
15300 , 0 , 407010
15400 , 0 , 401179
15500 , 0 , 402288
15600 , 0 , 507790
15700 , 0 , 565319
15800 , 0 , 795173
15900 , 0 , 490475
16000 , 0 , 423007
16100 , 0 , 426592
16200 , 0 , 437621
16300 , 0 , 422439
16400 , 0 , 429048
16500 , 0 , 430343
16600 , 0 , 434390
16700 , 0 , 601079
16800 , 0 , 446084
16900 , 0 , 439289
17000 , 0 , 487006
17100 , 0 , 448525
17200 , 0 , 443515
17300 , 0 , 463638
17400 , 0 , 457385
17500 , 0 , 486294
17600 , 0 , 456815
17700 , 0 , 459116
17800 , 0 , 458730
17900 , 0 , 522055
18000 , 0 , 473492
18100 , 0 , 504534
18200 , 0 , 472084
18300 , 0 , 469562
18400 , 0 , 521716
18500 , 0 , 479942
18600 , 0 , 481528
18700 , 0 , 478699
18800 , 0 , 483155
18900 , 0 , 498339
19000 , 0 , 489659
19100 , 0 , 646896
19200 , 0 , 518274
19300 , 0 , 523158
19400 , 0 , 504303
19500 , 0 , 498933
19600 , 0 , 501218
19700 , 0 , 543002
19800 , 0 , 509303
19900 , 0 , 534054
20000 , 0 , 510175
20100 , 0 , 552256
20200 , 0 , 520010
20300 , 0 , 557326
20400 , 0 , 543439
20500 , 0 , 528721
20600 , 0 , 687569
20700 , 0 , 545535
20800 , 0 , 528904
20900 , 0 , 532305
21000 , 0 , 563738
21100 , 0 , 538380
21200 , 0 , 681173
21300 , 0 , 543767
21400 , 0 , 559734
21500 , 0 , 573693
21600 , 0 , 578838
21700 , 0 , 573600
21800 , 0 , 568584
21900 , 0 , 2555930
22000 , 0 , 1612390
22100 , 0 , 1668847
22200 , 0 , 1078344
22300 , 0 , 1525180
22400 , 0 , 1048095
22500 , 0 , 1153675
22600 , 0 , 1144500
22700 , 0 , 1040768
22800 , 0 , 1107594
22900 , 0 , 1071195
23000 , 0 , 1069028
23100 , 0 , 1045252
23200 , 0 , 1069256
23300 , 0 , 1048044
23400 , 0 , 1731515
23500 , 0 , 1099126
23600 , 0 , 1108382
23700 , 0 , 1109060
23800 , 0 , 991662
23900 , 0 , 1116206
24000 , 0 , 1124791
24100 , 0 , 1128822
24200 , 0 , 1157897
24300 , 0 , 1423734
24400 , 0 , 1166364
24500 , 0 , 1190207
24600 , 0 , 1202909
24700 , 0 , 1192643
24800 , 0 , 1203280
24900 , 0 , 1184635
25000 , 0 , 1189637
25100 , 0 , 1261021
25200 , 0 , 1193723
25300 , 0 , 1539757
25400 , 0 , 1219537
25500 , 0 , 1237669
25600 , 0 , 1198005
25700 , 0 , 1257147
25800 , 0 , 1208174
25900 , 0 , 1151152
26000 , 0 , 1150221
26100 , 0 , 1178397
26200 , 0 , 1458127
26300 , 0 , 1267622
26400 , 0 , 1272601
26500 , 0 , 1237958
26600 , 0 , 1257197
26700 , 0 , 1249221
26800 , 0 , 1225794
26900 , 0 , 1230464
27000 , 0 , 1196351
27100 , 0 , 1585079
27200 , 0 , 1265776
27300 , 0 , 1265384
27400 , 0 , 1485303
27500 , 0 , 1309314
27600 , 0 , 1318415
27700 , 0 , 1335010
27800 , 0 , 1292049
27900 , 0 , 1209800
28000 , 0 , 1475033
28100 , 0 , 1273242
28200 , 0 , 1230903
28300 , 0 , 1315346
28400 , 0 , 1256313
28500 , 0 , 1198101
28600 , 0 , 2178133
28700 , 0 , 1190308
28800 , 0 , 1803979
28900 , 0 , 1419136
29000 , 0 , 1345588
29100 , 0 , 1245241
29200 , 0 , 1184835
29300 , 0 , 1409315
29400 , 0 , 1418762
29500 , 0 , 1380098
29600 , 0 , 1842789
29700 , 0 , 1337601
29800 , 0 , 1367445
29900 , 0 , 1415020
30000 , 0 , 1379503
30100 , 0 , 1397740
30200 , 0 , 1429296
30300 , 0 , 1223479
30400 , 0 , 1216167
30500 , 0 , 1961777
30600 , 0 , 1430583
30700 , 0 , 1275944
30800 , 0 , 1285520
30900 , 0 , 1425875
31000 , 0 , 1656958
31100 , 0 , 1485088
31200 , 0 , 1773890
31300 , 0 , 1514207
31400 , 0 , 1485930
31500 , 0 , 1347727
31600 , 0 , 1266229
31700 , 0 , 1515187
31800 , 0 , 1570552
31900 , 0 , 1515691
32000 , 0 , 1802998
32100 , 0 , 1532334
32200 , 0 , 1525145
32300 , 0 , 1558045
32400 , 0 , 1516711
32500 , 0 , 1359042
32600 , 0 , 1396272
32700 , 0 , 1587635
32800 , 0 , 1779489
32900 , 0 , 1380303
33000 , 0 , 1475724
33100 , 0 , 1718238
33200 , 0 , 1599488
33300 , 0 , 1566902
33400 , 0 , 1611747
33500 , 0 , 1906832
33600 , 0 , 1664139
33700 , 0 , 1622183
33800 , 0 , 1597316
33900 , 0 , 1604547
34000 , 0 , 1559823
34100 , 0 , 1449089
34200 , 0 , 2546196
34300 , 0 , 1483053
34400 , 0 , 1542127
34500 , 0 , 1531715
34600 , 0 , 1709530
34700 , 0 , 1596450
34800 , 0 , 1631907
34900 , 0 , 2000362
35000 , 0 , 1719762
35100 , 0 , 1619888
35200 , 0 , 1440247
35300 , 0 , 1742391
35400 , 0 , 1556719
35500 , 0 , 1465658
35600 , 0 , 1892400
35700 , 0 , 1631070
35800 , 0 , 1661649
35900 , 0 , 1667315
36000 , 0 , 1962581
36100 , 0 , 1682115
36200 , 0 , 1956373
36300 , 0 , 1701726
36400 , 0 , 1747908
36500 , 0 , 1472917
36600 , 0 , 1479726
36700 , 0 , 1720654
36800 , 0 , 1639611
36900 , 0 , 1767697
37000 , 0 , 1528801
37100 , 0 , 1576576
37200 , 0 , 2171900
37300 , 0 , 1493040
37400 , 0 , 1628517
37500 , 0 , 1738909
37600 , 0 , 1479273
37700 , 0 , 590545
37800 , 0 , 544775
37900 , 0 , 528207
38000 , 0 , 535711
38100 , 0 , 555874
38200 , 0 , 529213
38300 , 0 , 525101
38400 , 0 , 563708
38500 , 0 , 536912
38600 , 0 , 541590
38700 , 0 , 545788
38800 , 0 , 471007
38900 , 0 , 514463
39000 , 0 , 536770
39100 , 0 , 555542
39200 , 0 , 555192
39300 , 0 , 555048
39400 , 0 , 562573
39500 , 0 , 578853
39600 , 0 , 556008
39700 , 0 , 578972
39800 , 0 , 538444
39900 , 0 , 553917
40000 , 0 , 550153
40100 , 0 , 551759
40200 , 0 , 538383
40300 , 0 , 566941
40400 , 0 , 532252
40500 , 0 , 523410
40600 , 0 , 592517
40700 , 0 , 534564
40800 , 0 , 550544
40900 , 0 , 570400
41000 , 0 , 534276
41100 , 0 , 593629
41200 , 0 , 523621
41300 , 0 , 587112
41400 , 0 , 562480
41500 , 0 , 530921
41600 , 0 , 524959
41700 , 0 , 578861
41800 , 0 , 604288
41900 , 0 , 538496
42000 , 0 , 634252
42100 , 0 , 599772
42200 , 0 , 596544
42300 , 0 , 544115
42400 , 0 , 540650
42500 , 0 , 528695
42600 , 0 , 529998
42700 , 0 , 582423
42800 , 0 , 554289
42900 , 0 , 590432
43000 , 0 , 532166
43100 , 0 , 544683
43200 , 0 , 593700
43300 , 0 , 615192
43400 , 0 , 581294
43500 , 0 , 607321
43600 , 0 , 617147
43700 , 0 , 588810
43800 , 0 , 637507
43900 , 0 , 542818
44000 , 0 , 525686
44100 , 0 , 538259
44200 , 0 , 531694
44300 , 0 , 521350
44400 , 0 , 526302
44500 , 0 , 422071
44600 , 0 , 376300
44700 , 0 , 326981
44800 , 0 , 367707
44900 , 0 , 350355
45000 , 0 , 342401
45100 , 0 , 367878
45200 , 0 , 330320
45300 , 0 , 335047
45400 , 0 , 333657
45500 , 0 , 332209
45600 , 0 , 363291
45700 , 0 , 356681
45800 , 0 , 364500
45900 , 0 , 356646
46000 , 0 , 361226
46100 , 0 , 339614
46200 , 0 , 397798
46300 , 0 , 339471
46400 , 0 , 338892
46500 , 0 , 339105
46600 , 0 , 400611
46700 , 0 , 364211
46800 , 0 , 341005
46900 , 0 , 344063
47000 , 0 , 340152
47100 , 0 , 346049
47200 , 0 , 343838
47300 , 0 , 355287
47400 , 0 , 371332
47500 , 0 , 349501
47600 , 0 , 384022
47700 , 0 , 383691
47800 , 0 , 588368
47900 , 0 , 562689
48000 , 0 , 380806
48100 , 0 , 365486
48200 , 0 , 352902
48300 , 0 , 400959
48400 , 0 , 355269
48500 , 0 , 352021
48600 , 0 , 349290
48700 , 0 , 384767
48800 , 0 , 353669
48900 , 0 , 392245
49000 , 0 , 356455
49100 , 0 , 379427
49200 , 0 , 362346
49300 , 0 , 360409
49400 , 0 , 385261
49500 , 0 , 369936
49600 , 0 , 361897
49700 , 0 , 391320
49800 , 0 , 376981
49900 , 0 , 368553
50000 , 0 , 405765
50100 , 0 , 365153
50200 , 0 , 366848
50300 , 0 , 408648
50400 , 0 , 395487
50500 , 0 , 402455
50600 , 0 , 370889
50700 , 0 , 370931
50800 , 0 , 397858
50900 , 0 , 370975
51000 , 0 , 370149
51100 , 0 , 376812
51200 , 0 , 371374
51300 , 0 , 393393
51400 , 0 , 388069
51500 , 0 , 422776
51600 , 0 , 411233
51700 , 0 , 372973
51800 , 0 , 403694
51900 , 0 , 376511
52000 , 0 , 377053
52100 , 0 , 378319
52200 , 0 , 374352
52300 , 0 , 381707
52400 , 0 , 378817
52500 , 0 , 400967
52600 , 0 , 387490
52700 , 0 , 445586
52800 , 0 , 382323
52900 , 0 , 414614
53000 , 0 , 384879
53100 , 0 , 382685
53200 , 0 , 381468
53300 , 0 , 386687
53400 , 0 , 409267
53500 , 0 , 413909
53600 , 0 , 390338
53700 , 0 , 393595
53800 , 0 , 387743
53900 , 0 , 421578
54000 , 0 , 390197
54100 , 0 , 419597
54200 , 0 , 405740
54300 , 0 , 394313
54400 , 0 , 394311
54500 , 0 , 418547
54600 , 0 , 394338
54700 , 0 , 395731
54800 , 0 , 395092
54900 , 0 , 394468
55000 , 0 , 397819
55100 , 0 , 400079
55200 , 0 , 425473
55300 , 0 , 397994
55400 , 0 , 434839
55500 , 0 , 425807
55600 , 0 , 480282
55700 , 0 , 404973
55800 , 0 , 399671
55900 , 0 , 401079
56000 , 0 , 404435
56100 , 0 , 403816
56200 , 0 , 405212
56300 , 0 , 402757
56400 , 0 , 449348
56500 , 0 , 408570
56600 , 0 , 444049
56700 , 0 , 406653
56800 , 0 , 438719
56900 , 0 , 409908
57000 , 0 , 410646
57100 , 0 , 409196
57200 , 0 , 415300
57300 , 0 , 408731
57400 , 0 , 436255
57500 , 0 , 447702
57600 , 0 , 443845
57700 , 0 , 416833
57800 , 0 , 464953
57900 , 0 , 418694
58000 , 0 , 418042
58100 , 0 , 419335
58200 , 0 , 419062
58300 , 0 , 447112
58400 , 0 , 453527
58500 , 0 , 453814
58600 , 0 , 472435
58700 , 0 , 466410
58800 , 0 , 438273
58900 , 0 , 438737
59000 , 0 , 476931
59100 , 0 , 434602
59200 , 0 , 452279
59300 , 0 , 426497
59400 , 0 , 426338
59500 , 0 , 432423
59600 , 0 , 426750
59700 , 0 , 428127
59800 , 0 , 428525
59900 , 0 , 459842
60000 , 0 , 459177
60100 , 0 , 564289
60200 , 0 , 502194
60300 , 0 , 437518
60400 , 0 , 434201
60500 , 0 , 455713
60600 , 0 , 432501
60700 , 0 , 442755
60800 , 0 , 438511
60900 , 0 , 474636
61000 , 0 , 493369
61100 , 0 , 443176
61200 , 0 , 502101
61300 , 0 , 439426
61400 , 0 , 440120
61500 , 0 , 445060
61600 , 0 , 443860
61700 , 0 , 447071
61800 , 0 , 461172
61900 , 0 , 447804
62000 , 0 , 447468
62100 , 0 , 472469
62200 , 0 , 459435
62300 , 0 , 491794
62400 , 0 , 447890
62500 , 0 , 452786
62600 , 0 , 475609
62700 , 0 , 476034
62800 , 0 , 451127
62900 , 0 , 450608
63000 , 0 , 485916
63100 , 0 , 459786
63200 , 0 , 506977
63300 , 0 , 451131
63400 , 0 , 509800
63500 , 0 , 471422
63600 , 0 , 455701
63700 , 0 , 455463
63800 , 0 , 479663
63900 , 0 , 463147
64000 , 0 , 457520
64100 , 0 , 455656
64200 , 0 , 478801
64300 , 0 , 487126
64400 , 0 , 532185
