File Length , Buffer Size (Byte), Buffered Time Taken (ns)
104857600 , 1 , 290290915708
104857600 , 2 , 132576872469
104857600 , 3 , 86989871414
104857600 , 4 , 63649672353
104857600 , 5 , 51999608939
104857600 , 6 , 42909456678
104857600 , 7 , 36862523151
104857600 , 8 , 32118095367
104857600 , 9 , 29598231689
104857600 , 10 , 25068138158
104857600 , 11 , 22961622110
104857600 , 12 , 21062314299
104857600 , 13 , 19398946409
104857600 , 14 , 18358096134
104857600 , 15 , 18557374851
104857600 , 16 , 18975418383
104857600 , 17 , 16290321050
104857600 , 18 , 15312798976
104857600 , 19 , 14836651437
104857600 , 20 , 13759188410
104857600 , 21 , 12516494381
104857600 , 22 , 12047779076
104857600 , 23 , 11738709827
104857600 , 24 , 10967275715
104857600 , 25 , 10602029960
104857600 , 26 , 10050022958
104857600 , 27 , 9916083396
104857600 , 28 , 10162467749
104857600 , 29 , 10056759797
104857600 , 30 , 9630735421
104857600 , 31 , 8649482390
104857600 , 32 , 8490643474
104857600 , 33 , 8210480871
104857600 , 34 , 7975970195
104857600 , 35 , 8630541305
104857600 , 36 , 8227777289
104857600 , 37 , 7928167108
104857600 , 38 , 7936533726
104857600 , 39 , 7522126625
104857600 , 40 , 7656064735
104857600 , 41 , 6790898590
104857600 , 42 , 7462990403
104857600 , 43 , 6403335023
104857600 , 44 , 6255124473
104857600 , 45 , 6012989057
104857600 , 46 , 5995476171
104857600 , 47 , 5793982559
104857600 , 48 , 5709094420
104857600 , 49 , 5592497726
104857600 , 50 , 5471940389
104857600 , 51 , 5380222790
104857600 , 52 , 5315284055
104857600 , 53 , 5233519596
104857600 , 54 , 5125798459
104857600 , 55 , 5098361602
104857600 , 56 , 5229482377
104857600 , 57 , 4919536739
104857600 , 58 , 4811795744
104857600 , 59 , 4767235970
104857600 , 60 , 4661640710
104857600 , 61 , 4604909253
104857600 , 62 , 4604436372
104857600 , 63 , 4506381166
104857600 , 64 , 4454557331
104857600 , 65 , 4374155184
104857600 , 66 , 4307692652
104857600 , 67 , 5093035291
104857600 , 68 , 4528336179
104857600 , 69 , 4207767225
104857600 , 70 , 4106859109
104857600 , 71 , 4084379141
104857600 , 72 , 4035501880
104857600 , 73 , 3980634822
104857600 , 74 , 3944757554
104857600 , 75 , 3909990004
104857600 , 76 , 3852882139
104857600 , 77 , 3800597431
104857600 , 78 , 3783828087
104857600 , 79 , 3750790113
104857600 , 80 , 3726008662
104857600 , 81 , 3684428999
104857600 , 82 , 3640824024
104857600 , 83 , 3593047450
104857600 , 84 , 3561325369
104857600 , 85 , 3521679121
104857600 , 86 , 3506882106
104857600 , 87 , 3455129749
104857600 , 88 , 3419138420
104857600 , 89 , 3400179291
104857600 , 90 , 3389379234
104857600 , 91 , 3360729900
104857600 , 92 , 3315440227
104857600 , 93 , 3266844786
104857600 , 94 , 3262780403
104857600 , 95 , 3220584817
104857600 , 96 , 3212420235
104857600 , 97 , 3175874975
104857600 , 98 , 3163917959
104857600 , 99 , 3131473788
104857600 , 100 , 3091221018
104857600 , 101 , 3113682516
104857600 , 102 , 3056316149
104857600 , 103 , 3024097889
104857600 , 104 , 3005049656
104857600 , 105 , 2987844114
104857600 , 106 , 2988201609
104857600 , 107 , 2936662822
104857600 , 108 , 2931762423
104857600 , 109 , 2901029481
104857600 , 110 , 2887186316
104857600 , 111 , 2852902781
104857600 , 112 , 2838187884
104857600 , 113 , 2834242449
104857600 , 114 , 2782987735
104857600 , 115 , 2781060415
104857600 , 116 , 2769813371
104857600 , 117 , 2728185820
104857600 , 118 , 2722861678
104857600 , 119 , 2707505924
104857600 , 120 , 2692416771
104857600 , 121 , 2690623563
104857600 , 122 , 2651819077
104857600 , 123 , 2630582082
104857600 , 124 , 2629960978
104857600 , 125 , 2612499781
104857600 , 126 , 2590804557
104857600 , 127 , 2581968699
104857600 , 128 , 2558895801
104857600 , 129 , 2560015525
104857600 , 130 , 2531991063
104857600 , 131 , 2532928470
104857600 , 132 , 2569283161
104857600 , 133 , 2514315400
104857600 , 134 , 2491677866
104857600 , 135 , 2471790930
104857600 , 136 , 2449841139
104857600 , 137 , 2455743007
104857600 , 138 , 2444392364
104857600 , 139 , 2432131535
104857600 , 140 , 2395640120
104857600 , 141 , 2386316416
104857600 , 142 , 2388230345
104857600 , 143 , 2371223572
104857600 , 144 , 2358997896
104857600 , 145 , 2378479604
104857600 , 146 , 2337707023
104857600 , 147 , 2319309960
104857600 , 148 , 2295233835
104857600 , 149 , 2309295117
104857600 , 150 , 2281579568
104857600 , 151 , 2275907526
104857600 , 152 , 2278388274
104857600 , 153 , 2270442924
104857600 , 154 , 2261186957
104857600 , 155 , 2246623121
104857600 , 156 , 2263979798
104857600 , 157 , 2220174357
104857600 , 158 , 2219570819
104857600 , 159 , 2199997914
104857600 , 160 , 2197180833
104857600 , 161 , 2201994986
104857600 , 162 , 2178058526
104857600 , 163 , 2164024714
104857600 , 164 , 2144086301
104857600 , 165 , 2131929532
104857600 , 166 , 2145391911
104857600 , 167 , 2126496250
104857600 , 168 , 2123148759
104857600 , 169 , 2104163682
104857600 , 170 , 2090937255
104857600 , 171 , 2082910358
104857600 , 172 , 2168218843
104857600 , 173 , 2082883624
104857600 , 174 , 2067777947
104857600 , 175 , 2062996556
104857600 , 176 , 2059996458
104857600 , 177 , 2066507540
104857600 , 178 , 2041598151
104857600 , 179 , 2022402470
104857600 , 180 , 2030256951
104857600 , 181 , 2023096326
104857600 , 182 , 2011266249
104857600 , 183 , 2000186318
104857600 , 184 , 1998637170
104857600 , 185 , 1998332955
104857600 , 186 , 1996383384
104857600 , 187 , 1994303731
104857600 , 188 , 1968908043
104857600 , 189 , 1950883983
104857600 , 190 , 1956158490
104857600 , 191 , 1942494429
104857600 , 192 , 1936369104
104857600 , 193 , 1954219091
104857600 , 194 , 1939211037
104857600 , 195 , 1913154216
104857600 , 196 , 1925079423
104857600 , 197 , 1913243187
104857600 , 198 , 1904309468
104857600 , 199 , 1894577833
104857600 , 200 , 1882553673
104857600 , 201 , 1891644496
104857600 , 202 , 1877651991
104857600 , 203 , 1891897144
104857600 , 204 , 1848251661
104857600 , 205 , 1865254795
104857600 , 206 , 1839655701
104857600 , 207 , 1839989888
104857600 , 208 , 1845396625
104857600 , 209 , 1887190749
104857600 , 210 , 1828912699
104857600 , 211 , 1824917967
104857600 , 212 , 1815660119
104857600 , 213 , 1806162614
104857600 , 214 , 1810296409
104857600 , 215 , 1797278906
104857600 , 216 , 1808039064
104857600 , 217 , 1786660171
104857600 , 218 , 1786661229
104857600 , 219 , 1785184806
104857600 , 220 , 1776324006
104857600 , 221 , 1760700095
104857600 , 222 , 1773743969
104857600 , 223 , 1762771024
104857600 , 224 , 1765591850
104857600 , 225 , 1742065349
104857600 , 226 , 1753529019
104857600 , 227 , 1737233064
104857600 , 228 , 1734074858
104857600 , 229 , 1746827914
104857600 , 230 , 1716920060
104857600 , 231 , 1959887426
104857600 , 232 , 1724118787
104857600 , 233 , 1709470409
104857600 , 234 , 1706092765
104857600 , 235 , 1720398669
104857600 , 236 , 1695552652
104857600 , 237 , 1685194741
104857600 , 238 , 1697323682
104857600 , 239 , 1694509262
104857600 , 240 , 1682711940
104857600 , 241 , 1666423717
104857600 , 242 , 1679615843
104857600 , 243 , 1671543404
104857600 , 244 , 1717597612
104857600 , 245 , 1667009960
104857600 , 246 , 1664389479
104857600 , 247 , 1650429437
104857600 , 248 , 1653125795
104857600 , 249 , 1637899616
104857600 , 250 , 1648538349
104857600 , 251 , 1640795128
104857600 , 252 , 1629630029
104857600 , 253 , 1632565559
104857600 , 254 , 1628356579
104857600 , 255 , 1617389493
104857600 , 256 , 1606138968
104857600 , 257 , 1613170650
104857600 , 258 , 1613265984
104857600 , 259 , 1652886340
104857600 , 260 , 1613501670
104857600 , 261 , 1599404617
104857600 , 262 , 1607822151
104857600 , 263 , 1610686919
104857600 , 264 , 1584240718
104857600 , 265 , 1586630904
104857600 , 266 , 1577573011
104857600 , 267 , 1576906254
104857600 , 268 , 1576520039
104857600 , 269 , 1584712621
104857600 , 270 , 1569233877
104857600 , 271 , 1568014822
104857600 , 272 , 1570206305
104857600 , 273 , 1552810144
104857600 , 274 , 1570342090
104857600 , 275 , 1547520831
104857600 , 276 , 1549991856
104857600 , 277 , 1560206716
104857600 , 278 , 1560105808
104857600 , 279 , 1543360859
104857600 , 280 , 1539349761
104857600 , 281 , 1677566460
104857600 , 282 , 1546182462
104857600 , 283 , 1529373667
