File Length , Non-Buffered Time Taken (ns)
100 , 842251
200 , 985478
300 , 1272939
400 , 1836830
500 , 2212126
600 , 2560751
700 , 2852916
800 , 3116511
900 , 3620296
1000 , 3873969
1100 , 4337092
1200 , 4515475
1300 , 4599552
1400 , 3426933
1500 , 3642460
1600 , 3876626
1700 , 4604959
1800 , 4322024
1900 , 4567685
2000 , 4708937
2100 , 4880904
2200 , 4981055
2300 , 5116393
2400 , 5276516
2500 , 5420827
2600 , 5940953
2700 , 6296759
2800 , 6307485
2900 , 6292629
3000 , 6539058
3100 , 6834940
3200 , 7110497
3300 , 7412536
3400 , 7443737
3500 , 9713672
3600 , 12004012
3700 , 12972448
3800 , 13817164
3900 , 14584759
4000 , 14850750
4100 , 15095865
4200 , 17151695
4300 , 14116882
4400 , 13684993
4500 , 11610561
4600 , 12396845
4700 , 12251028
4800 , 13236197
4900 , 14483063
5000 , 15417419
5100 , 15792147
5200 , 10933215
5300 , 11110799
5400 , 10804496
5500 , 11082685
5600 , 11254590
5700 , 11573124
5800 , 11903994
5900 , 11992435
6000 , 12355639
6100 , 12532765
6200 , 15386320
6300 , 12853279
6400 , 12946932
6500 , 13328692
6600 , 14065377
6700 , 13915833
6800 , 13964248
6900 , 14226751
7000 , 14355757
7100 , 14384916
7200 , 14860969
7300 , 15277623
7400 , 15269330
7500 , 15253242
7600 , 15539187
7700 , 15844678
7800 , 15991812
7900 , 16184885
8000 , 16214693
8100 , 16441496
8200 , 16752436
8300 , 16864848
8400 , 16938954
8500 , 17543029
8600 , 17371149
8700 , 17661610
8800 , 17954447
8900 , 18190977
9000 , 18323286
9100 , 18509724
9200 , 18563268
9300 , 18876321
9400 , 18952940
9500 , 19149042
9600 , 19383509
9700 , 19708106
9800 , 20849356
9900 , 21568506
10000 , 21625558
10100 , 22190446
10200 , 22335526
10300 , 22843766
10400 , 22731703
10500 , 23473857
10600 , 23388532
10700 , 23334549
10800 , 22574681
10900 , 22404126
11000 , 22470978
11100 , 22361376
11200 , 22645796
11300 , 22717857
11400 , 23101818
11500 , 23179867
11600 , 23416869
11700 , 23610418
11800 , 23801660
11900 , 24033547
12000 , 24245846
12100 , 24205034
12200 , 24823943
12300 , 24987315
12400 , 25302728
12500 , 25301036
12600 , 25543773
12700 , 25655493
