String Length , Time Taken (ns)
100 , 273476
200 , 427895
300 , 583790
400 , 777510
500 , 972287
600 , 1093214
700 , 1048674
800 , 627792
900 , 582655
1000 , 767358
1100 , 628165
1200 , 641414
1300 , 9802825
1400 , 605518
1500 , 525670
1600 , 993335
1700 , 595954
1800 , 656547
1900 , 619509
2000 , 634887
2100 , 1351701
2200 , 1539741
2300 , 1528015
2400 , 1526476
2500 , 1786682
2600 , 1787494
2700 , 1900506
2800 , 2129842
2900 , 2318060
3000 , 2242303
3100 , 2482544
3200 , 2697954
3300 , 2767421
3400 , 2950332
3500 , 10380201
3600 , 1308680
3700 , 1220715
3800 , 1239669
3900 , 1192703
4000 , 1204518
4100 , 1246621
4200 , 1467823
4300 , 1368040
4400 , 7831445
4500 , 1660570
4600 , 1828451
4700 , 1844649
4800 , 2078154
4900 , 1968658
5000 , 2207808
5100 , 9656253
5200 , 2438239
5300 , 2244000
5400 , 2189428
5500 , 2384872
5600 , 9098725
5700 , 2559030
5800 , 2465392
5900 , 2605152
6000 , 9420427
6100 , 4102077
6200 , 2741764
6300 , 2859686
6400 , 10059657
6500 , 2866292
6600 , 3082561
6700 , 10383338
6800 , 9532093
6900 , 3483332
7000 , 3428892
7100 , 12157834
7200 , 4529127
7300 , 4250935
7400 , 4377881
7500 , 17523206
7600 , 4797862
7700 , 5013881
7800 , 16623114
7900 , 7383611
8000 , 5919011
8100 , 31587228
8200 , 20212116
8300 , 21189818
8400 , 21160726
8500 , 32458201
8600 , 6134817
8700 , 5882316
8800 , 6297828
8900 , 6052158
9000 , 14574546
9100 , 6187043
9200 , 6408851
9300 , 6404365
9400 , 6566710
9500 , 14542471
9600 , 6834786
9700 , 6797138
9800 , 21354193
9900 , 24382506
10000 , 22296265
10100 , 19922853
10200 , 20391884
10300 , 20669056
10400 , 21147341
10500 , 21569596
10600 , 22330710
10700 , 23025918
10800 , 22973680
10900 , 16080892
11000 , 8178877
11100 , 8280835
11200 , 8346271
11300 , 8591894
11400 , 8570551
11500 , 8917802
11600 , 9285203
11700 , 9378081
11800 , 10952788
11900 , 9426534
12000 , 9505474
12100 , 9737866
12200 , 9865642
12300 , 10054776
12400 , 10248694
12500 , 12127737
12600 , 10675751
12700 , 10679772
12800 , 10945255
12900 , 11224648
13000 , 11247499
13100 , 11580967
13200 , 13126652
13300 , 11803584
13400 , 11943406
13500 , 12056569
13600 , 12201305
13700 , 12608192
13800 , 14801856
13900 , 15506451
14000 , 13327442
14100 , 13918631
14200 , 13414447
14300 , 13840436
14400 , 15316144
14500 , 14292809
14600 , 14570877
14700 , 14740693
14800 , 14888060
14900 , 16781806
15000 , 15485593
15100 , 15559733
15200 , 15669951
15300 , 16234169
15400 , 17876526
15500 , 17755016
15600 , 17537510
15700 , 16663483
15800 , 17055586
15900 , 18761113
16000 , 17301637
16100 , 17399239
16200 , 17830177
16300 , 21593117
16400 , 18774962
16500 , 18398432
16600 , 19293774
16700 , 21977356
16800 , 23701262
16900 , 21235115
17000 , 20591652
17100 , 21546169
17200 , 20626962
17300 , 20285021
17400 , 20583863
17500 , 24252194
17600 , 21973289
17700 , 21248660
17800 , 22042260
17900 , 25708215
18000 , 22760745
18100 , 22568137
18200 , 27218591
18300 , 25026203
18400 , 23329619
18500 , 25405101
18600 , 23595921
18700 , 23850003
18800 , 24282989
18900 , 26278475
19000 , 28127706
19100 , 26343816
19200 , 26985053
19300 , 26530246
19400 , 26149957
19500 , 27798587
19600 , 26429331
19700 , 26886077
19800 , 28629056
19900 , 27481234
20000 , 29615806
20100 , 27871792
20200 , 28068464
20300 , 29986122
20400 , 28815290
20500 , 28902745
20600 , 34576463
20700 , 29966904
20800 , 31867213
20900 , 38566551
21000 , 35427547
21100 , 35667615
21200 , 31325007
21300 , 31632981
21400 , 33435575
21500 , 32170989
21600 , 34292578
21700 , 32722742
21800 , 33512873
21900 , 35033434
22000 , 33579860
22100 , 39341399
22200 , 36060996
22300 , 39764915
22400 , 35026173
22500 , 37114487
22600 , 35657406
22700 , 36317558
22800 , 40342428
22900 , 37172679
23000 , 38531428
23100 , 37435383
23200 , 41790953
23300 , 38114366
23400 , 41324886
